"Time [ms]","Current(PhaseA) [kA]","Current(PhaseB) [kA]","Current(PhaseC) [kA]"
0,0,0,0
1,0.0289385336690773,-0.0498141125691048,0.0208755789000275
2,0.0622557272336233,-0.0877879936039935,0.0255322663703702
3,0.0907162467800302,-0.0961066492398431,0.00539040245981292
4,0.0953932467818785,-0.0535494416545375,-0.0418438051273411
5,0.0751488530155146,0.00434102984547438,-0.079489882860989
6,0.0334552138969705,0.0676035778101627,-0.101058791707133
7,-0.0302384696130972,0.109078838185293,-0.0788403685721953
8,-0.0916792578633944,0.114013181379661,-0.022333923516267
9,-0.123923559468869,0.0756120949859587,0.0483114644829099
10,-0.111280896600642,0.0102111625412738,0.101069734059368
11,-0.0518007679866669,-0.0607361758065383,0.112536943793205
12,0.0102061179130904,-0.0997123659268317,0.0895062480137413
13,0.071804193127977,-0.0973106817668934,0.0255064886389165
14,0.0995920906798646,-0.0613697150560782,-0.0382223756237865
15,0.0843657656998701,0.000121481721341937,-0.084487247421212
16,0.04105485428467,0.0647819160804763,-0.105836770365146
17,-0.0237186295531309,0.105593071998874,-0.0818744424457434
18,-0.0835902606166207,0.105530409566407,-0.0219401489497859
19,-0.115665772046719,0.0706442309196569,0.0450215411270623
20,-0.104553474687844,0.00730375835264583,0.0972497163351984
21,-0.0462310201520811,-0.0623157606788603,0.108546780830941
22,0.0144178486172068,-0.101596598737226,0.0871787501200194
23,0.0755301913969434,-0.10004657982832,0.0245163884313765
24,0.104551918669029,-0.0643125598330173,-0.0402393588360113
25,0.0945284709146726,-0.0034293554386719,-0.0910991154760007
26,0.0382977580022198,0.0641302699384132,-0.102428027940633
30,-0.324460316646876,1.10818181630934,-0.783721499662462
40,-0.387998908424142,1.68398191299917,-1.29598300457503
50,-0.411954092348942,1.92414842619442,-1.51219433384548
60,-0.418549915526131,2.0223801385612,-1.60383022303507
70,-0.419694700798986,2.06207274094668,-1.64237804014769
80,-0.4192736860731,2.07795417621071,-1.65868049013761
90,-0.418883038659685,2.08443971566277,-1.66555667700308
100,-0.418539855990483,2.08690460475944,-1.66836474876895
110,-0.418339350205792,2.08808131837945,-1.66974196817366
120,-0.418303616934277,2.0885042828377,-1.67020066590342
130,-0.418105978089056,2.08856257844362,-1.67045660035456
140,-0.41812712144565,2.08868508079606,-1.67055795935041
150,-0.418099718542675,2.08859722490414,-1.67049750636147
160,-0.418098757284077,2.08875492338081,-1.67065616609673
170,-0.418176403860821,2.08877070282149,-1.67059429896067
180,-0.418040559045233,2.08866748054609,-1.67062692150086
190,-0.418094093350929,2.0887261066604,-1.67063201330947
200,-0.418083237816382,2.0886131207614,-1.67052988294502
210,-0.418090632501635,2.08876102748543,-1.6706703949838
220,-0.418172425704776,2.08877301105776,-1.67060058535299
230,-0.418038626427281,2.08866833872394,-1.67062971229666
240,-0.418093159194722,2.08872641738914,-1.67063325819442
250,-0.418082787899617,2.08861322892609,-1.67053044102647
260,-0.418090416759889,2.08876106305033,-1.67067064629045
270,-0.418172322465651,2.0887730214947,-1.67060069902904
280,-0.418038577204793,2.0886683411036,-1.67062976389881
290,-0.418093135763597,2.08872641746951,-1.67063328170591
300,-0.418082776761769,2.08861322853944,-1.67053045177768
