"Time [ms]","InducedVoltage(PhaseA) [V]","InducedVoltage(PhaseB) [V]","InducedVoltage(PhaseC) [V]"
0,14.9425604565276,-224.007671197257,198.473252940761
1,76.9331584830035,-182.469159959033,105.243594448253
2,138.923756509479,-140.930648720809,12.0139359557436
3,149.997983210353,-41.4751066090509,-80.6887323924237
4,74.4019274676493,43.9579105353677,-168.881651662877
5,0.28173586331437,144.067804198675,-161.294427236137
6,-72.6634896514767,202.125110680847,-67.6205251550337
7,-176.745980907926,134.657078412296,12.8151714157578
8,-191.45603616595,36.3816135415234,109.08035589073
9,-96.3354805563611,-39.5354024337306,199.426630455149
10,-8.95241634430011,-145.239799298905,168.875397075845
11,70.1030274562398,-206.624570294552,62.7486045599125
12,176.822549042861,-137.111653996537,-15.3537390592619
13,197.025540056773,-33.9770360156279,-105.40799665596
14,100.945077217573,40.8517948131467,-197.832145829257
15,8.43074112211478,141.564079834861,-173.165074077487
16,-70.9221456921013,204.72781675843,-64.8422095540662
17,-176.401578328224,135.848255218705,13.9487684880492
18,-194.729605688766,34.5683668308911,106.445759818204
19,-96.6452673422408,-38.7482052607534,200.12867497255
20,-9.59262554189516,-145.090057224039,169.123335109184
21,70.9837134106637,-205.156289027084,64.4336376283996
22,176.942124465687,-136.482557986867,-14.7026715799627
23,196.389436753554,-34.0612099687897,-105.657953181547
24,99.6520894362683,40.2417182730384,-198.514345951807
25,10.5941674690009,144.938967034365,-169.498323083705
26,-72.3790816935151,202.965845832684,-67.0059481956393
30,-13.74025741194,76.4686184124161,-80.6091633951231
40,-2.73346454750293,33.6998067267539,-31.6476255907258
50,-0.424345503076035,13.8680306966976,-13.2087013662537
60,0.100210677830076,5.61333693067243,-5.54453319657928
70,0.174200889586773,2.2687603975178,-2.33072231014944
80,0.115577388582538,0.916837067408549,-0.984990028905286
90,0.0696061235783751,0.360504663741867,-0.421103070877149
100,0.0441811695429561,0.15798530549862,-0.182075439976304
110,0.0216605766122757,0.0534383368760105,-0.0718053063070156
120,0.0244354172455108,0.0237832089911683,-0.0278868694127743
130,0.000309343270638029,0.0119158498212757,-0.0135093496414385
140,-0.00278045962873175,-0.00360395699869898,-0.0100816724394548
150,0.00259414822577075,0.0117696588129546,-0.00760536988850813
160,-0.000725335810675132,-0.00508333413462569,0.00279040436270694
170,0.0126191537893561,0.000374048921547576,0.00404307390560188
180,-0.00571836872885201,0.00261313351477277,0.000264365378788156
190,-0.00581260186594545,-0.0072904912780114,-0.0041185863365989
200,0.00108230251986696,0.0103143488203505,-0.00501266804044942
210,-0.00146737544615139,-0.00565254932050063,0.00392642546187538
220,0.0122555737683328,0.000152067737113626,0.00454194244285944
230,-0.00589441495478238,0.00252789823729227,0.000485207593858838
240,-0.0058976386935583,-0.00732292056615513,-0.00402051807233406
250,0.00104135195679311,0.0103022093323579,-0.00496891164052382
260,-0.00148697128296016,-0.00565696595085097,0.00394607926934576
270,0.0122461856594702,0.000150494552708658,0.00455078426531141
280,-0.00589888068621702,0.00252737569110817,0.000489215485455219
290,-0.00589976508845735,-0.00732308177631147,-0.00401869912061148
300,0.00104034124950303,0.0103021683367732,-0.00496808259491388
