"Time [ms]","Current(PhaseA) [A]","Current(PhaseB) [A]","Current(PhaseC) [A]"
0,0,0,0
0.2,1.43027886128209,-7.60379318242127,6.17351432113917
0.4,6.88392540147881,-16.9899034675983,10.1059780661195
0.6,13.8510605817807,-26.6146416115624,12.7635810297817
0.8,22.1335488166072,-36.3028879853685,14.1693391687613
1,30.7019558118736,-45.321353137813,14.6193973259394
1.2,39.2657190117237,-53.4709267056012,14.2052076938775
1.4,47.7426854666155,-60.7420529803049,12.9993675136895
1.6,55.8886444680973,-66.79271892593,10.9040744578327
1.8,63.5163735329995,-71.3903785056843,7.87400497268475
2,70.4516830218614,-74.3893992951869,3.93771627332558
2.2,76.5710896624621,-75.6730511139483,-0.898038548513782
2.4,81.6970412881742,-75.2580083988454,-6.43903288932884
2.6,85.6612557457008,-73.0928703478942,-12.5683853978066
2.8,88.3971625045013,-69.2617912886874,-19.1353712158139
3,89.8159881694277,-63.8105185995726,-26.0054695698551
3.2,90.0271977566102,-56.8733677798532,-33.153829976757
3.4,88.9847287405655,-48.6495457170893,-40.3351830234763
3.6,86.7954254782962,-39.2359358680583,-47.5594896102379
3.8,83.4599196330684,-28.6911563321993,-54.7687633008691
4,78.9574486627818,-17.2588536230387,-61.6985950397431
4.2,73.3502400614413,-5.21818330112648,-68.1320567603148
4.4,66.722230385301,7.18684458927195,-73.909074974573
4.6,59.2827498670898,19.7803966041784,-79.0631464712682
4.8,51.3366631860013,32.1049525879465,-83.4416157739478
5,43.2084241058829,43.8804405630696,-87.0888646689525
5.2,34.6104452026335,54.8947882658445,-89.5052334684781
5.4,25.5309710843694,64.8743771240693,-90.4053482084387
5.6,16.944515358846,73.2652016073389,-90.2097169661849
5.8,8.89503229371094,80.0811963602771,-88.976228653988
6,1.37714209984711,85.5647747310412,-86.9419168308883
6.2,-7.19812784230441,90.8204977329041,-83.6223698905997
6.4,-15.6905064183899,94.9966671614082,-79.3061607430184
6.6,-24.5661591147308,97.9742252951636,-73.4080661804329
6.8,-33.8834928967669,99.7575828832876,-65.8740899865207
7,-43.5367245423458,100.266585877275,-56.7298613349294
7.2,-52.9581834003282,99.2742554344739,-46.3160720341457
7.4,-61.6720762558329,96.6721956697305,-35.0001194138976
7.59999999999999,-69.5580997396816,92.3915994397121,-22.8334997000305
7.79999999999999,-76.2914446753616,86.493667295435,-10.2022226200733
8,-81.757774814397,79.0395150988691,2.71825971552789
8.2,-86.0562001154734,70.0547340423538,16.0014660731196
8.4,-89.1334613866167,59.8936578274876,29.2398035591291
