"Time [ms]","FluxLinkage(PhaseA) []","FluxLinkage(PhaseB) []","FluxLinkage(PhaseC) []"
0,-0.0753672340657787,0.243901586575284,-0.171098586002987
0.2,0.0494953085364992,0.311604767221025,-0.0213885216629927
0.4,0.102537699653738,0.30252193304369,0.0520371059581219
0.6,0.137832620007348,0.271752862460326,0.103002055115053
0.8,0.165089524603976,0.23012171602956,0.141061897068054
1,0.191885481174192,0.186299824643971,0.173663599289569
1.2,0.218163895167799,0.141354480212443,0.20069767289536
1.4,0.242798754660763,0.0953024589096434,0.221066293879324
1.6,0.266781301216606,0.0502529086878268,0.23586847533365
1.8,0.291094251492453,0.00827432816402781,0.24627302720409
2,0.316211603448321,-0.0291208168437059,0.253012904632062
2.2,0.342103947064237,-0.0609857730816301,0.256390246431529
2.4,0.368028914943513,-0.087163035578686,0.256050295347458
2.6,0.393435451868193,-0.107399092844096,0.251885124835406
2.8,0.417959415126393,-0.121352187458858,0.244024215820773
3,0.441183730621064,-0.128849549537118,0.23258553661343
3.2,0.462892293582783,-0.129631242826568,0.217934151183543
3.4,0.482820428084852,-0.123615057626828,0.200403792942028
3.6,0.499616863670586,-0.111938474746776,0.179269835005655
3.8,0.511943462173466,-0.0958704681635527,0.153827503201564
4,0.519313998163205,-0.0759666823558282,0.124211236269405
4.2,0.521184450904859,-0.0529752303841315,0.0904819462024595
4.4,0.51667345166112,-0.0281155158055996,0.0523394407080508
4.6,0.506048991065587,-0.00158429666240322,0.0106125646341044
4.8,0.488830712070692,0.0255697490528246,-0.034654727028544
5,0.465339420503604,0.0529944183765379,-0.0826524789131383
5.2,0.436276531831923,0.081309708845806,-0.129440990739144
5.4,0.398371903508505,0.107063140261979,-0.175169787502387
5.6,0.34477892214723,0.122467380455993,-0.226507193993671
5.8,0.27665280671906,0.127632350175207,-0.282290394692446
6,0.195349592522728,0.122781493208497,-0.341310752622683
6.2,0.125567126014847,0.131304990240826,-0.379274287642714
6.4,0.0548718029614775,0.139534438347563,-0.409095854368536
6.6,-0.0123883500408189,0.150534808680356,-0.427117184920528
6.8,-0.0752530018034179,0.163987093354648,-0.43320501276777
7,-0.132758528527962,0.179608704455518,-0.427344884992874
7.2,-0.184881967974994,0.196254858084741,-0.410538601930163
7.4,-0.237680204794683,0.206784678554207,-0.389936823291888
7.59999999999999,-0.291140814756964,0.210212945335915,-0.366702044327928
7.79999999999999,-0.343141751285018,0.207774076429402,-0.339920389602986
8,-0.392096465767526,0.200282674348821,-0.30925023950935
8.2,-0.436115338506071,0.188979658865318,-0.274080660246699
8.4,-0.475148017428603,0.173395264077571,-0.235621239786787
8.6,-0.509410398429872,0.152943880097347,-0.195310956440801
8.8,-0.536328661177319,0.1299923044086,-0.151759500703933
9,-0.555461909159172,0.104930702479714,-0.105623948136136
9.2,-0.566524292188757,0.078142228150625,-0.0576297692226125
9.4,-0.568785217831003,0.0506196909150535,-0.00795860053790379
9.6,-0.563058524125656,0.0219566135459148,0.0417783869770473
9.8,-0.549901428617001,-0.00786081321158125,0.0903389847721945
10,-0.529559306116867,-0.0384106027871495,0.136920605571009
10.2,-0.50132366134535,-0.068215386857016,0.181800716024013
10.4,-0.467990829054572,-0.0991643154285636,0.221908756639007
10.6,-0.427035795458576,-0.127741976812837,0.259626918615853
10.8,-0.37369302154064,-0.148149641569375,0.299708729308508
11,-0.311318778440932,-0.162604924431423,0.338986619653014
11.2,-0.235122226247039,-0.165146325682316,0.382559668959184
11.4,-0.165565890487445,-0.174931633936373,0.410503863673327
11.6,-0.0921809588616062,-0.180254760746462,0.433895859579123
11.8,-0.0182536195272209,-0.183155075027798,0.450229201243146
12,0.0487475874761322,-0.189833076974888,0.452999218399965
12.2,0.10973733231563,-0.198193211891544,0.444158758574978
12.4,0.164700989711531,-0.207151286343688,0.424827231481072
12.6,0.218957620875596,-0.210393296605364,0.401491278347704
12.8,0.273032582033426,-0.206509162717416,0.375885514160098
