"Time [ms]","ElecPower []","MechPower []"
0,0,-0.866675433284831
0.2,3002.92070921848,374.748241771541
0.4,6479.80951008157,588.151932308424
0.6,10089.3556499228,962.342457457506
0.8,13712.9794083793,1400.09387899923
1,17014.4803005343,2181.1758617391
1.2,19819.570013136,3411.09689153088
1.4,22043.0589506979,4977.12260636953
1.6,23516.1595314405,6746.27191260311
1.8,24165.8114932648,8605.38314992533
2,24003.5011355481,10441.9251625637
2.2,23109.0092089673,12117.8328247049
2.4,21624.9676075997,13496.8499555738
2.6,19712.6120115207,14571.1685839526
2.8,17584.602967389,15350.3025964206
3,15451.4299393463,15811.2459916418
3.2,13555.4788662679,15912.0137089336
3.4,12073.373537259,15687.3216507846
3.6,11184.9787309701,15277.3760852589
3.8,11021.9874019262,14675.4534521362
4,11625.8897433009,13958.4851127369
4.2,12977.5156162291,13217.7122968328
4.4,15006.0627195122,12640.6744842991
4.6,17631.957943951,12353.302242955
4.8,20631.1192536947,12386.8813213574
5,23787.7510506785,12795.6314133726
5.2,24655.600523679,13509.8909992279
5.4,25249.3960579908,14531.5599111532
5.6,25377.5072267032,15840.6098189144
5.8,24988.1566947329,17063.9177897227
6,24135.1064775105,18088.5602422723
6.2,23357.6896361618,18850.2645140968
6.4,22350.5224066166,19495.4414729761
6.6,21281.8601924333,19889.7807140664
6.8,20321.4712361131,20130.6836512479
7,19584.4830044679,20278.1460348808
7.2,19010.3049922182,20325.0927504408
7.4,18542.759562825,20124.7034537505
7.59999999999999,18245.1831306903,19695.2717141442
7.79999999999999,18085.7212802354,19219.211257675
8,18099.3584576506,18704.5324202752
8.2,18410.612080112,18137.1586137704
8.4,18981.6812369478,17528.0099499866
8.6,19724.7794886746,17034.2569910426
8.8,20645.6826235184,16582.4064714738
9,21609.6716544133,16160.3211634979
9.2,22510.1202404753,15834.9369053095
9.4,23330.2086542504,15686.2444573968
9.6,24021.7300210467,15771.5629422894
9.8,24588.436049372,15989.526782731
10,24986.9294814049,16358.87364403
10.2,25126.0253296123,16963.0232632723
10.4,25061.2987610678,17732.215337389
10.6,24767.0696573062,18597.7793195838
10.8,24029.177379054,19537.8645533787
11,22896.178341798,20299.5540458481
11.2,21354.7598992496,20849.9494442839
11.4,19891.1034127982,21127.3634704172
11.6,18277.4418306758,21238.7860642572
11.8,16603.7796017378,21233.372849936
12,15251.7418380534,21109.2521561964
12.2,14194.7879973266,20817.2268358788
12.4,13487.826726263,20272.5651581396
12.6,13054.491269643,19477.0947530028
12.8,12866.984733272,18598.5460856317
13,12933.6853346678,17672.8508079612
13.2,13224.9529412769,16695.3849032654
13.4,13887.1539539516,15747.4108206386
13.6,14876.5767327147,14974.3211328988
13.8,16157.5558616726,14293.5095992514
14,17623.4103349712,13624.1038775492
14.2,19104.6674222034,13092.637473199
14.4,20536.7524541165,12794.204259504
14.6,21871.7627818791,12777.8939698191
14.8,23081.7423979815,13007.4096805868
15,24065.5414388434,13467.7031466738
15.2,24782.9592301453,14184.4978108187
15.4,25261.8331577994,15123.1673457527
15.6,25313.3434899306,16372.5428654517
15.8,24889.7979666769,17535.5774118673
16,23921.3099659578,18526.0344415181
16.2,23010.6884056419,19241.721545559
16.4,21918.1355151045,19813.5822040297
16.6,20693.2916257478,20188.127296279
16.8,19614.9457416226,20358.6875042509
17,18737.8535707955,20477.9189817172
17.2,18094.1540070995,20447.5189596583
17.4,17575.4262942332,20183.7695633062
17.6,17247.0134200489,19682.0067736691
17.8,17075.8957510518,19117.6323142525
18,17070.6634550004,18532.5195508962
18.2,17365.3137852409,17871.7780643865
18.4,17955.0786079899,17203.5443783626
18.6,18743.7429317361,16648.2208305688
18.8,19734.1111102599,16155.8507490563
19,20800.7473267704,15676.1702056862
19.2,21794.111554421,15308.416317661
19.4,22741.8611206857,15134.7193969301
19.6,23571.5314479698,15180.3453924807
19.8,24258.2008804097,15411.3196361141
20,24776.9515161624,15786.7178547554
20.2,25023.4820708226,16423.1092578566
20.4,25078.8943487018,17213.4112028541
20.6,24841.3584052894,18147.4711105081
20.8,24188.1048481746,19138.6054481523
21,23112.5591980158,19929.9888033278
