"Time [ms]","Current(PhaseA) [A]","Current(PhaseB) [A]","Current(PhaseC) [A]"
0,0,0,0
0.2,6.03299642102804,-0.561364755206187,-5.47163166582186
0.4,14.243052383241,-4.08831744672736,-10.1547349365136
0.6,24.9294694347804,-11.339906935314,-13.5895624994665
0.8,35.9873430935106,-18.3364816149619,-17.6508614785487
1,47.3191374012925,-25.0517494740405,-22.267387927252
1.2,58.9577409886422,-31.7148040780223,-27.2429369106199
1.4,70.5965539527085,-38.221614387112,-32.3749395655965
1.6,81.6086709483018,-43.7712439389195,-37.8374270093823
1.8,91.7489264891289,-48.0442372388523,-43.7046892502766
2,100.705861185242,-50.8437417238375,-49.862119461404
2.2,108.296581066606,-51.9780114746934,-56.3185695919128
2.4,114.414211059722,-51.4783861383257,-62.9358249213964
2.6,118.952684331291,-49.3174452706481,-69.6352390606433
2.8,121.844216903782,-45.5909347785666,-76.2532821252159
3,122.954295421793,-40.3945866546073,-82.5597087671862
3.2,122.488907186582,-33.943320271266,-88.5455869153165
3.4,120.34876731362,-26.6521317220596,-93.6966355915607
3.6,116.890712732972,-19.3164008173767,-97.5743119155953
3.8,112.558892797372,-12.4164154169198,-100.142477380452
4,107.394257546828,-5.98967045572161,-101.404587091106
4.2,102.382642139061,-1.39682296763105,-100.98581917143
4.4,98.4175788403668,0.655181997785714,-99.0727608381525
4.6,94.9831679608722,1.24621303485024,-96.2293809957225
4.8,88.5294237452874,6.32517546175902,-94.8545992070464
5,79.2428776036648,14.7855356103845,-94.0284132140492
5.2,67.8613610084948,24.6327997507883,-92.4941607592832
5.4,54.8958697774032,34.3392908513995,-89.2351606288027
5.6,40.7426896796013,43.6366954150974,-84.3793850946987
5.8,25.6324087173577,52.4584210524623,-78.09082976982
6,10.2343517475757,60.0959899631269,-70.3303417107026
6.2,-5.35357524949849,66.3715255074604,-61.017950257962
6.4,-21.16611035858,71.4285713799331,-50.2624610213531
6.6,-37.0489714078043,75.1905988055227,-38.1416273977184
6.8,-52.5770359505727,77.3537064682249,-24.7766705176522
7,-67.4087484956084,77.8140620816972,-10.4053135860888
7.2,-81.2483646198704,76.5015467126243,4.74681790724611
