"Time [ms]","FluxLinkage(PhaseA) []","FluxLinkage(PhaseB) []","FluxLinkage(PhaseC) []"
0,-0.0864761058031822,0.243901585625207,-0.234605768868174
0.2,-0.10258658273581,0.17047928654108,-0.224938531446304
0.4,-0.108436856554442,0.102145664132136,-0.208688401408139
0.6,-0.101830092158207,0.0423300967188767,-0.183947784880778
0.8,-0.0908976019344535,-0.0160723115918143,-0.159075354637694
1,-0.07645210501799,-0.0727484990212702,-0.135041888550899
1.2,-0.0586450058177207,-0.126672855304047,-0.112084844896011
1.4,-0.0378782546186711,-0.177070490997372,-0.0906339458946364
1.6,-0.0150688393439924,-0.223740359688386,-0.0715699404975632
1.8,0.00929109585070121,-0.266087552591141,-0.0552734145786164
2,0.0348881578328875,-0.30339222101097,-0.0418865455187806
2.2,0.0614172065660553,-0.334992461597417,-0.0314736117797155
2.4,0.0884273740396251,-0.360443090648021,-0.024184582961578
2.6,0.115427271320413,-0.379431334565865,-0.0201521904119847
2.8,0.141973181503066,-0.391695552790213,-0.0194128331719908
3,0.167658055988366,-0.397053473163206,-0.0219306009877041
3.2,0.192017014729852,-0.395486863919888,-0.0276739321366244
3.4,0.215363226379781,-0.386323201096338,-0.0358292055053235
3.6,0.238862851999736,-0.3681297159595,-0.0447050664736908
3.8,0.262441940331021,-0.340828158069071,-0.0538177541403517
4,0.285653892679679,-0.304865719930873,-0.0630537347828443
4.2,0.309973876341634,-0.258813075691918,-0.0703572203889295
4.4,0.332937395628132,-0.205274951694899,-0.0775851889486915
4.6,0.352914183747221,-0.14624812371813,-0.0857928908606579
4.8,0.3608323279766,-0.0917169772412471,-0.103564179960816
5,0.362559902438888,-0.0367194475731639,-0.124610459298533
5.2,0.358576674080334,0.0189841487083239,-0.145048368321995
5.4,0.348594254443686,0.0748204527685851,-0.161888535916998
5.6,0.332541509075065,0.129666168423083,-0.175110499374809
5.8,0.30979868408429,0.181763586054749,-0.185393128461094
6,0.281463132715192,0.231055062230932,-0.191837770409907
6.2,0.248488491947244,0.277283413922835,-0.193856014645863
6.4,0.211323975277605,0.319639587277809,-0.191518260096843
6.6,0.170891360949356,0.35778187671236,-0.184562898202297
6.8,0.127723693173985,0.391014208520307,-0.173235263402662
7,0.0822426698685097,0.418567527841533,-0.157999453884895
7.2,0.03504065494959,0.439900749771801,-0.13924529678208
7.4,-0.01321316259217,0.454627995863451,-0.117354228255346
