"Time [ms]","InducedVoltage(PhaseA) []","InducedVoltage(PhaseB) []","InducedVoltage(PhaseC) []"
0,-131.853400233109,-392.554878796546,15.4217240278792
0.2,-80.5523846631365,-367.111495420634,48.3361871093516
0.4,-29.2513690931637,-341.668112044722,81.2506501908239
0.6,33.0338219811752,-299.077837066297,123.703082636809
0.8,54.6624511187688,-292.012041553455,124.362151215416
1,72.2274845823172,-283.38093714728,120.16733043398
1.2,89.0354960013466,-269.621781413885,114.785218274435
1.4,103.833755995248,-251.988178466626,107.254495006876
1.6,114.047076373393,-233.34934345507,95.320026985366
1.8,121.799675973468,-211.735964513773,81.4826295947339
2,127.985309910931,-186.523342099145,66.9343452991786
2.2,132.645243665839,-158.001202932232,52.0646686953257
2.4,135.050837367849,-127.253145253022,36.4451440906875
2.6,134.999486403937,-94.9412195892221,20.1619627479664
2.8,132.729550913267,-61.3210911217382,3.69678619996977
3,128.4243724265,-26.7896018649658,-12.5888390785668
3.2,121.79479370743,7.83304621659375,-28.7166557446014
3.4,116.731058249645,45.8183141177457,-40.7763668434954
3.6,117.498128099775,90.9674256841916,-44.3793048418364
3.8,117.895441656422,136.507789452146,-45.563438333305
4,116.059761743293,179.812190690991,-46.1799032124626
4.2,121.599918309777,230.263221194774,-36.517428030426
4.4,114.817596432489,267.690619985093,-36.1398427988101
4.6,99.8839405954455,295.134139883845,-41.0385095598318
4.8,39.5907211468932,272.655732384415,-88.85644550079
5,8.63787231143942,274.987648340416,-105.231396688585
5.2,-19.9161417927679,278.517981407439,-102.18954511731
5.4,-49.9120981832424,279.181520301306,-84.200837975015
5.6,-80.2637268431058,274.228578272488,-66.1098172890552
5.8,-113.714124953875,260.487088158332,-51.4131454314246
6,-141.677756845489,246.457380880915,-32.2232097440661
6.2,-164.873203839738,231.141758459514,-10.0912211797802
6.4,-185.822583348195,211.780866774872,11.6887727451012
6.6,-202.163071641248,190.711447172755,34.7768094727302
6.8,-215.838338876854,166.161659039734,56.6381739981765
7,-227.405116527375,137.766596606132,76.1790475888323
7.2,-236.010074594599,106.666109651337,93.7707855140776
7.4,-241.2690877088,73.6362304582511,109.45534263367
7.59999999999999,-241.421050851862,40.8890846364049,124.697546888141
7.79999999999999,-236.622645064562,8.75959981820162,139.099351970597
8,-228.851019027,-24.1531712138376,150.521276955379
8.2,-218.046449039933,-57.1643328511956,159.006632503113
8.4,-202.571805875805,-88.0977008664496,166.288998260524
8.6,-190.568281478943,-124.551001547648,164.328830994631
8.8,-182.239247200537,-166.207282011508,152.987954632813
9,-163.940790376936,-198.512036458078,146.1381032528
9.2,-146.876794333402,-232.106928678933,132.88394205623
9.4,-129.795561069617,-264.870581904944,114.981464718289
9.6,-112.949846135897,-297.01189274914,92.5175613089142
9.8,-50.8343458119964,-279.451535380634,111.9391052454
10,-21.1450165038926,-290.034837565754,96.3516065768072
10.2,13.4568502561877,-290.957418581023,83.9956138932847
10.4,44.3856412996102,-290.552316243961,67.1061936601831
10.6,72.3358328070495,-287.734884811312,47.0188605654645
10.8,102.558765213029,-276.780609863794,29.7172207295313
11,132.91991776731,-259.827648409348,13.6285287197938
11.2,160.451353053211,-239.870281788302,-3.63546782098934
11.4,186.543896180179,-215.326212812841,-19.9584395610505
11.6,206.836499682637,-190.394566291429,-38.9337972546461
11.8,221.50352842063,-164.956215457187,-59.7250941060576
12,230.719098220443,-138.94446061382,-81.5571353307452
12.2,237.605459899561,-109.602659916171,-100.846128436337
12.4,242.905519097764,-76.5483952634291,-116.41710217429
12.6,243.441256502694,-43.3763498641199,-131.140863505348
12.8,239.990814555461,-9.87095056881576,-144.049863778841
13,230.928036715588,21.7959236758741,-156.620794546053
13.2,219.16176786772,53.8633179659581,-165.933056957238
13.4,205.778969909911,86.8029595922543,-170.878368068487
13.6,195.364524882138,124.657826764607,-167.218629373386
13.8,195.239244723276,174.368700328316,-147.83365034958
14,181.902282146622,211.476098542527,-136.209209861498
14.2,177.976800115797,258.301658821737,-110.127977756951
14.4,156.65503277275,287.305948596794,-96.5640297496131
14.6,131.182992472991,311.047137762597,-82.8071785826084
14.8,53.8224745303339,278.118681314958,-117.666737018268
15,15.2372075223836,279.560934418066,-111.266157597391
15.2,-19.2829166216796,280.427408814323,-99.0025967042411
15.4,-48.5055791172273,281.810053735448,-80.2862235290609
