"Time [ms]","ElecPower []","MechPower []"
0,0,-0.866769177673414
0.2,-465.628892718659,-2108.65159677338
0.4,383.524366495108,-4385.81382142276
0.6,2989.29178383261,-6412.97965651892
0.8,5847.19179573907,-7946.10075834899
1,8866.71488944538,-8879.41244249532
1.2,12046.4748556961,-9050.39895422878
1.4,15240.8161842262,-8474.31307695596
1.6,18048.8007585544,-7228.73739177057
1.8,20296.1444995853,-5381.93336281063
2,21893.0340361423,-2979.4823672348
2.2,22815.4625000353,-154.284296537654
2.4,23147.0449937035,2874.47606453906
2.6,22995.2682554122,5998.72439697184
2.8,22513.7580097112,9119.58601839984
3,21849.2515165982,12141.8420526563
3.2,21200.9578967605,14952.4659787087
3.4,20656.2776508677,17567.8533541968
3.6,20247.3732517648,20190.2294794741
3.8,19946.8144623757,22686.324437532
4,19682.0870588913,24767.6274252365
4.2,19162.9401548504,26491.9327627475
4.4,18092.1224192175,27961.6592561561
4.6,16507.3932819214,28945.0782379139
4.8,16080.0193748951,28698.1972757686
5,16812.1985316871,27619.8171064766
5.2,15548.0377367074,26108.3417423615
5.4,14773.5017796771,24322.4213296798
5.6,14558.3045368368,22287.9632492802
5.8,14981.2179981152,20104.1495183895
6,15831.0886137987,17937.1901276922
6.2,17085.5956502801,15924.420163936
6.4,18828.8745419702,14140.8637955796
6.6,21041.7330804422,12618.1527578624
6.8,23583.4746375997,11494.9762043203
7,26346.5288706759,10865.5031754121
7.2,29222.4489001848,10766.5492969801
7.4,32056.0227757561,11157.9834895828
7.59999999999999,34707.9569270565,12045.4483020804
7.79999999999999,37080.423494802,13466.1667125468
8,39098.2433808509,15301.377460549
8.2,40657.3282326833,17493.4796667947
8.4,41599.8728535303,19959.7734072768
8.6,41777.8602780127,22846.6931289088
8.8,41106.6330087131,26068.9403811386
9,39599.3230116514,29099.2423056588
9.2,37142.3466298709,31733.4450121238
9.4,33673.3276102555,33925.0536969803
9.6,28733.3336008319,35849.2016303071
9.8,24537.6519282042,36441.2557897567
10,21032.8835709218,35970.4747375762
10.2,18158.5940553603,34717.5449255853
10.4,15764.0650811774,32969.8409395761
10.6,13987.3943344544,30815.4506602084
10.8,13074.9390925573,28343.4120004607
11,12868.8999469513,25754.3417631095
11.2,13105.7213218572,23210.6581789011
11.4,13747.6699410276,20790.3049288583
11.6,14854.4539637207,18528.787169691
11.8,16394.0259808275,16589.7764233538
12,18346.4894062146,15091.0374910516
12.2,20546.7271062833,14039.9826582775
12.4,22899.5402035665,13423.5116165205
12.6,25309.1086555863,13268.3978459399
12.8,27625.4645405345,13664.5937103563
13,29757.3899370518,14504.0250454187
13.2,31583.8976403908,15699.8481135254
13.4,33087.2593182002,17191.7481720137
13.6,33926.2120152449,19141.7814803229
13.8,33776.4797692883,21746.7337922489
14,32868.1198926128,24246.5292368982
14.2,30836.8745902786,26588.0449705628
14.4,27738.5946426206,28632.2981612238
14.6,23399.2835545694,30289.0251964692
14.8,20130.5078945569,30493.0492116476
15,17760.9673552763,29652.3684369334
15.2,16146.3286701925,28203.4283099604
15.4,15042.0067782827,26408.8137805904
15.6,14486.9910468603,24357.444516256
15.8,14634.439540431,22102.3854625603
16,15206.4793100286,19842.8217246621
16.2,16176.6032087271,17714.076693516
16.4,17614.8102650394,15770.3088725733
16.6,19537.3887120201,14082.9183558665
16.8,21836.6744539226,12750.2226201522
17,24383.3240312988,11924.0221538689
17.2,27093.1047418791,11581.8945674414
17.4,29816.2605459892,11730.6023616729
17.6,32413.5933224707,12365.3696867707
17.8,34767.7858278836,13519.1976167186
18,36801.4924594039,15127.9753736355
18.2,38444.0259617391,17053.1880301232
18.4,39516.3575266657,19289.6306427838
18.6,39806.5215395121,21952.4087335559
18.8,39250.0789543672,25033.2753385716
19,37869.8834800977,27931.9291409617
19.2,35504.3450796872,30480.2183940848
19.4,32184.3909033863,32622.9342220873
19.6,27357.3934508662,34498.1933613807
19.8,23360.0664677552,34995.7496628726
20,20124.9961732533,34432.1734133803
20.2,17583.1844037824,33132.5997132595
20.4,15546.1841985183,31368.4284120987
20.6,14086.9652376968,29235.3853077478
20.8,13473.4796981221,26811.0002463211
21,13475.7990629513,24291.4224751297
21.2,13866.7041189664,21858.3158806396
21.4,14683.3276569138,19547.348386714
21.6,15967.6785541125,17434.0852937973
