"Time [ms]","Moving1.Torque [NewtonMeter]"
0,-0.0137950599146421
0.2,-33.5602324885102
0.4,-69.8023949160187
0.6,-102.065741228275
0.8,-126.46612139975
1,-141.320238197481
1.2,-144.041573051923
1.4,-134.872881550583
1.6,-115.04892882135
1.8,-85.6561298082498
2,-47.419934660056
2.2,-2.45551084354234
2.4,45.7487074470729
2.6,95.4726640024017
2.8,145.142719378007
3,193.243418092129
3.2,237.975887192489
3.4,279.601070083396
3.6,321.337482381801
3.8,361.064067481968
4,394.189033338478
4.2,421.632205124939
4.4,445.023628766849
4.6,460.675227974565
4.8,456.745995426493
5,439.583041978984
5.2,415.52716442293
5.4,387.103358258229
5.6,354.723952257345
5.8,319.967477251023
6,285.479247400136
6.2,253.445018496266
6.4,225.058837265571
6.6,200.824138410243
6.8,182.948228364128
7,172.929853954752
7.2,171.354954065696
7.4,177.584822730486
7.59999999999999,191.709263903398
7.79999999999999,214.320699680136
8,243.528985896128
8.2,278.417376084793
8.4,317.669660076227
8.6,363.616414476948
8.8,414.900072282612
9,463.12882531744
9.2,505.053463501435
9.4,539.933999053239
9.6,570.55776453614
9.8,579.980599141593
10,572.487885984739
10.2,552.546888692184
10.4,524.731315848707
10.6,490.443129617658
10.8,451.099412396347
11,409.893079767691
11.2,369.409098158844
11.4,330.887979781559
11.6,294.894806755401
11.8,264.034492256614
12,240.181321308597
12.2,223.453264098935
12.4,213.641822742071
12.6,211.173110409119
12.8,217.478763434562
13,230.838728070703
13.2,249.870843305953
13.4,273.615170196703
13.6,304.650914217829
13.8,346.110017913997
14,385.89549808745
14.2,423.161878421467
14.4,455.697178443975
14.6,482.064808145304
14.8,485.311951197814
15,471.932101112004
15.2,448.87150276681
15.4,420.309325437433
15.6,387.660769584872
15.8,351.770390048892
16,315.808316237122
16.2,281.928286808201
16.4,250.992261115601
16.6,224.136606949574
16.8,202.926095551932
17,189.776706732551
17.2,184.331577077747
17.4,186.698335130571
17.6,196.800970880824
17.8,215.164712733694
18,240.769205968655
18.2,271.409917046965
18.4,307.004006721593
18.6,349.383436271912
18.8,398.41695119141
19,444.550459287661
19.2,485.107742393911
19.4,519.210123960695
19.6,549.055800120375
19.8,556.97465460527
20,548.005060013681
20.2,527.321702185036
20.4,499.244043880976
20.6,465.295608492423
20.8,426.710321844002
21,386.609996165045
21.2,347.885902006786
21.4,311.105712008491
21.6,277.472085279356
21.8,248.945421222354
22,227.635483286883
22.2,213.631451528499
22.4,206.620396034452
22.6,207.355024823978
22.8,216.249736079064
23,232.873641791516
23.2,254.706712872554
23.4,281.249186123309
23.6,315.22610262827
23.8,358.40994960899
24,400.169679242275
24.2,438.039678920098
24.4,471.085142856645
24.6,497.394322359585
24.8,502.796073178083
25,490.421699892512
25.2,467.785875493386
25.4,439.513252261521
25.6,406.405507176756
25.8,370.058383768184
26,333.062965701781
26.2,298.130792298328
26.4,265.785461915174
26.6,237.258708871315
26.7999999999999,214.3500585443
26.9999999999999,199.019713422615
27.1999999999999,191.729355069169
27.3999999999999,191.673402880094
27.5999999999999,199.631362510943
27.7999999999999,215.691793714405
27.9999999999999,238.993190377017
28.1999999999999,267.563514340722
28.3999999999999,300.761196039125
28.5999999999999,341.309268730162
28.7999999999999,388.733489481182
28.9999999999999,433.949931785012
29.1999999999999,473.822153215525
29.3999999999999,507.186349785139
29.5999999999999,535.816757841317
29.7999999999999,543.889917189704
30,534.130292816467
