"Time [ms]","Current(PhaseA) [A]","Current(PhaseB) [A]","Current(PhaseC) [A]"
0,0,0,0
0.2,7.46355069903781,-3.3200220003983,-4.14352869863951
0.4,19.1321638732357,-13.4043371634725,-5.72782670976311
0.6,31.2930054144662,-23.3756303000321,-7.91737511443406
0.8,43.7824109178077,-32.8675500651324,-10.9148608526753
1,56.4786729612768,-41.9387287219839,-14.5399442392929
1.2,69.2134777649321,-50.5491154011246,-18.6643623638074
1.4,81.4239214469141,-58.115108974679,-23.3088124722351
1.6,92.7253559526047,-64.2376694711112,-28.4876864814936
1.8,102.926331652716,-68.6817412840565,-34.2445903686593
2,111.74431292001,-71.2937724848128,-40.4505404351973
2.2,119.061470906734,-72.0105443825436,-47.0509265241902
2.4,124.795024448788,-70.9177308515165,-53.8772935972711
2.6,128.816208155204,-67.969420668462,-60.8467874867417
2.8,131.079346189463,-63.2747240525601,-67.8046221369029
3,131.490972565165,-56.9185063727416,-74.5724661924233
3.2,130.316896728384,-49.1280987714429,-81.1887979569412
3.4,127.384802348154,-40.2115068163689,-87.173295531785
3.6,122.743368675823,-30.4713046766711,-92.2720639991521
3.8,116.586638792255,-20.0112274730893,-96.5754113191654
4,109.225644051839,-9.5688372597835,-99.6568067920556
4.2,101.602277826844,-0.434914608368597,-101.167363218475
4.4,97.5984786776312,2.33253466087288,-99.931013338504
4.6,89.8711110585601,10.8396199314494,-100.71073099001
4.8,79.1082221383148,22.657680560627,-101.765902698942
5,67.2097300198202,35.006269163399,-102.215999183219
5.2,54.2349684752621,47.2234737975157,-101.458442272778
5.4,40.0880145669252,58.8401914174453,-98.9282059843705
5.6,24.9917653710648,69.7548555852062,-94.746620956271
5.8,9.26935829746011,79.4834197336118,-88.7527780310719
6,-6.88286884931572,87.9526952517372,-81.0698264024215
6.2,-23.1909074633142,94.9246809740888,-71.7337735107746
6.4,-39.5231926288091,100.304663310495,-60.7814706816857
6.6,-55.3960824381191,103.868204715264,-48.4721222771452
6.8,-70.4392173464013,105.420808408141,-34.98159106174
7,-84.5675832327934,105.077072988223,-20.5094897554295
7.2,-97.5392054995432,102.843377677189,-5.30417217764618
7.4,-109.076855045028,98.7831359840205,10.2937190610079
7.59999999999999,-118.789472597746,92.9044476281546,25.8850249695911
7.79999999999999,-126.494491836411,85.3149596423305,41.1795321940808
8,-132.20229370087,76.2066715015361,55.9956221993342
8.2,-136.001153751576,65.7685025675688,70.2326511840073
8.4,-137.923269511955,54.3819319164632,83.5413375954921
8.6,-137.824827064224,42.5091589713263,95.3156680928975
8.8,-135.84972507828,30.3605383703525,105.489186707927
9,-132.285554092862,18.2523418822182,114.033212210644
9.2,-127.715445152496,7.26705845248669,120.448386700009
9.4,-122.496669497887,-2.12180606673494,124.618475564622
9.6,-118.812651232898,-8.15280267180611,126.965453904704
9.8,-110.435319083896,-19.3039905995826,129.739309683478
10,-98.8995127542152,-32.2662759972915,131.165788751507
10.2,-85.4706208731629,-45.0130171193141,130.483637992477
10.4,-70.387752546799,-57.0564820326202,127.444234579419
10.6,-54.017416926922,-68.2981720191141,122.315588946036
10.8,-36.80136575769,-78.503165588219,115.304531345909
11,-19.5883110996245,-87.0174585935166,106.605769693141
11.2,-2.57815249878826,-93.7989715548333,96.3771240536216
11.4,14.1783813861995,-98.811405379531,84.6330239933315
11.6,30.3675189021987,-101.979320216642,71.6118013144438
11.8,45.8255031562801,-103.259215474247,57.4337123179669
12,60.2693969597789,-102.762409541507,42.4930125817284
12.2,73.3438636885938,-100.438662323641,27.0947986350468
12.4,84.9567138337286,-96.2607825983559,11.3040687646273
12.6,94.9742272109229,-90.3045126559263,-4.66971455499663
12.8,103.095384058628,-82.5636084150803,-20.531775643548
13,109.106872306522,-73.2489600235521,-35.8579122829702
13.2,112.847850453408,-62.5146162043062,-50.3332342491018
13.4,114.485178610489,-50.6313684435609,-63.8538101669283
13.6,114.050976001191,-38.1690711974542,-75.8819048037373
13.8,111.675803366768,-25.6162340078782,-86.0595693588898
14,107.585258929499,-13.216261954129,-94.3689969753699
14.2,102.573368050506,-2.55507096639499,-100.018297084111
14.4,99.584643064238,2.77958989040526,-102.364232954643
14.6,95.1366842613136,9.85754469217171,-104.994228953485
14.8,85.6839655720846,21.7780967349036,-107.462062306988
15,74.0075749387938,34.3702165213735,-108.377791460167
15.2,60.852664091988,46.6883765582621,-107.54104065025
15.4,46.5854275905637,58.3686449425994,-104.954072533163
15.6,31.2555823079288,69.3403663246866,-100.595948632615
15.8,15.4302069130643,79.1000506533671,-94.5302575664315
16,-0.80008122025782,87.4601936801896,-86.6601124599318
16.2,-17.165809603274,94.3587740739783,-77.1929644707043
16.4,-33.4801080526167,99.6448139250691,-66.1647058724524
16.6,-49.408063317529,103.149788215641,-53.7417248981116
16.8,-64.5129415343843,104.728491358385,-40.2155498240006
17,-78.618380138688,104.327761784686,-25.7093816459979
17.2,-91.6086435019092,102.102535841606,-10.4938923396967
17.4,-103.175990903197,98.0129596562503,5.16303124694693
17.6,-113.019654166781,92.1217240006211,20.8979301661599
17.8,-120.800594606996,84.4955274336464,36.3050671733493
18,-126.514576910665,75.2900036659191,51.2245732447455
18.2,-130.230842643182,64.7659054941014,65.4649371490802
18.4,-132.012698852854,53.2086618066004,78.804037046254
18.6,-131.814288305417,41.2077594229779,90.6065288824387
18.8,-129.667411388812,28.9610795566609,100.706331832151
19,-125.922985277776,16.8075715499041,109.115413727872
19.2,-121.209355575667,5.93766569378651,115.271689881881
19.4,-116.349527051706,-2.83494629883933,119.184473350546
19.6,-112.742164391331,-8.76138283801275,121.503547229344
19.8,-104.005361944997,-19.9637464189854,123.969108363983
20,-92.3679320474313,-32.8876690302904,125.255601077722
20.2,-78.9763118413094,-45.5563318205693,124.532643661879
20.4,-64.1200957125728,-57.5412701945869,121.66136590716
20.6,-48.0427612734616,-68.6554177633617,116.698179036823
20.8,-31.229001216005,-78.7626898677501,109.991691083755
21,-14.4326863680004,-87.1662963357521,101.598982703753
21.2,2.36483068063052,-93.9280551333453,91.5632244527148
21.4,18.9193762511536,-98.9875719579326,80.068195706779
21.6,35.0271260685169,-102.24846699846,67.2213409299435
21.8,50.4018713700055,-103.658953452784,53.2570820827788
22,64.6214913667219,-103.152348833416,38.5308574666945
22.2,77.6904428290589,-100.887855289049,23.1974124599899
22.4,89.3099957137938,-96.7528676279412,7.44287191414737
22.6,99.2940021021114,-90.7897119480393,-8.50429015407208
22.8,107.369168441095,-83.098253704842,-24.2709147362528
23,113.288859126447,-73.7887048432925,-39.5001542831543
23.2,117.004715130396,-63.0860816585802,-53.9186334718155
23.4,118.563257213316,-51.247860428122,-67.3153967851943
23.6,118.208057857445,-38.8779609115373,-79.3300969459081
