"Time [ms]","FluxLinkage(PhaseA) []","FluxLinkage(PhaseB) []","FluxLinkage(PhaseC) []"
0,-0.086476107354172,0.286293573559173,-0.234605768763581
0.2,-0.0973529733153629,0.218124171654367,-0.219700358528313
0.4,-0.0901238452086166,0.162969952090177,-0.19035106309187
0.6,-0.0782896098190789,0.108264748821431,-0.160355877905352
0.8,-0.0633015352792321,0.0536312184653415,-0.131386219675772
1,-0.0455842423336335,-0.000218656984133233,-0.104025636713618
1.2,-0.0251380126264986,-0.0521141276314396,-0.0783662042642927
1.4,-0.0026614623652388,-0.101607700734165,-0.0551404585593969
1.6,0.0214490218835756,-0.147970063202379,-0.0347107530756493
1.8,0.0466694610065552,-0.190626100484701,-0.0174913478510698
2,0.0726102779646008,-0.228915166005211,-0.00370197932423223
2.2,0.0989018642682448,-0.262212552913155,0.00652718580840856
2.4,0.125107087642879,-0.290028491391311,0.013058207436102
2.6,0.15073369799741,-0.312021689640018,0.0157546377649522
2.8,0.175382792191157,-0.327854074785101,0.0146236245479471
3,0.198675478851045,-0.337282869151636,0.00973186154611999
3.2,0.220228188946271,-0.340174194461368,0.00119888117258417
3.4,0.240322365738393,-0.33586313864531,-0.010189356106765
3.6,0.259234065153894,-0.323819399513213,-0.0236327239858121
3.8,0.276223664021308,-0.304667102244174,-0.0393187778898024
4,0.292471493800654,-0.277218380148497,-0.0555188322609457
4.2,0.308841105659156,-0.240664044602682,-0.070800020132117
4.4,0.32884511657461,-0.191316786026953,-0.0809809783056058
4.6,0.334936509818455,-0.147633321825473,-0.103102470836819
4.8,0.334640780895704,-0.102844613289912,-0.129194361561726
5,0.330967494798562,-0.0546459787933559,-0.155792716838577
5.2,0.322737352819043,-0.00454471516551636,-0.180654461707449
5.4,0.30851444057448,0.045589619211848,-0.201925689641289
5.6,0.288017895799621,0.0944407102266971,-0.219790382412496
5.8,0.262089390379655,0.141754405356939,-0.233469611061989
6,0.231298334506341,0.186933834060833,-0.242608273805407
6.2,0.196076141626231,0.229207662473943,-0.247140308407298
6.4,0.157235420286983,0.268154434481251,-0.24677097177016
6.6,0.115265835179138,0.303042558680548,-0.241647029459325
6.8,0.0709133447620052,0.333419987349342,-0.23178124124851
7,0.025239139776025,0.359168430302758,-0.216991671075484
7.2,-0.0209890732329994,0.37993140448046,-0.197485294416114
7.4,-0.0671196139513703,0.395308122411478,-0.17366082450237
7.59999999999999,-0.112316639439187,0.405179890696102,-0.145784623165692
7.79999999999999,-0.155838901734039,0.409433489464325,-0.114266429805945
8,-0.196953743761443,0.408052914061829,-0.0795647129688154
8.2,-0.235020438067338,0.401048724657864,-0.0422544449394082
8.4,-0.269933384042487,0.38802113880443,-0.00343485586411634
8.6,-0.302472636053602,0.367824381464724,0.0349575345992071
8.8,-0.331633884550176,0.341241519507702,0.072799030979294
9,-0.356556302639628,0.309050472222349,0.109869216720501
9.2,-0.378616044776682,0.269887350606687,0.143785575570806
9.4,-0.397546836879605,0.224171037243241,0.173892169761757
9.6,-0.411407815292203,0.173986970774632,0.201203958861926
9.8,-0.416005043014865,0.124515340462328,0.229311722108952
10,-0.413927039776023,0.0739682655277739,0.255140026634453
10.2,-0.406757248544464,0.0215919668201572,0.276741774428645
10.4,-0.394304415923581,-0.0314743008246611,0.294104601297641
10.6,-0.376240796662929,-0.0838597452296599,0.307485423883202
10.8,-0.351976166871197,-0.13386379095422,0.317543920035274
11,-0.321863875522289,-0.180714930121992,0.324119404232456
11.2,-0.286649129485209,-0.223975188088335,0.326814024979227
11.4,-0.247095854842628,-0.263189945092106,0.325368704000048
11.6,-0.203944144571783,-0.297880469102198,0.319674430672922
11.8,-0.158237612678274,-0.327881419131761,0.309451115573412
12,-0.11096738142015,-0.353005298454876,0.294572126628141
12.2,-0.063285786464833,-0.373287079277832,0.274840602076746
12.4,-0.0158809616941534,-0.388363693377159,0.250621462886149
12.6,0.0304774469420498,-0.398037798685606,0.222266160473296
12.8,0.0751205869847709,-0.402124265416395,0.19026667980004
13,0.117266233448133,-0.400664408745846,0.155021990686506
13.2,0.156409754565007,-0.393551456937386,0.117216316568032
13.4,0.192289917894855,-0.380556690878653,0.0777870272741014
13.6,0.22562693076927,-0.360597177940079,0.0386124104116963
13.8,0.256514659492336,-0.333351274561481,0.000900431561248139
14,0.284025637699495,-0.299665121654642,-0.0352088831058628
14.2,0.310463802077188,-0.257215748086997,-0.0664222134733713
14.4,0.337443166097159,-0.204262275616396,-0.0901279252978961
14.6,0.350855936540869,-0.155468579405009,-0.119560262914522
14.8,0.354019205978348,-0.108440769323079,-0.150831999718524
15,0.351452706797461,-0.059367118212094,-0.17889680096369
15.2,0.343411433182724,-0.008817777655433,-0.203107521989217
15.4,0.329723976904608,0.0421052774573385,-0.223386952189862
15.6,0.30959514886526,0.0915658740924487,-0.240444436881196
15.8,0.283801525440583,0.139252587444401,-0.253553805501735
16,0.253030230885327,0.184692366540997,-0.262248145751738
16.2,0.217715993507096,0.227115191508468,-0.26645395434961
16.4,0.178651462600798,0.266084053543354,-0.265891232445159
16.6,0.136508327063986,0.301043790214755,-0.260530695053194
16.8,0.0919361632624738,0.331442769101618,-0.250477425742761
17,0.0459415332878987,0.357116269857417,-0.235600845444518
17.2,-0.00061419550094567,0.37779536654223,-0.216015743563639
17.4,-0.047006533790739,0.39315412520953,-0.192050551332657
17.6,-0.0924728057719495,0.402995211828647,-0.164052597831575
17.8,-0.136224287172324,0.40725735529922,-0.132378830341216
18,-0.177617714564348,0.405840325465826,-0.0975742819805633
18.2,-0.215995715214235,0.398773738352284,-0.0601895002154449
18.4,-0.25121875815241,0.385697465122464,-0.0212899289858971
18.6,-0.284036447931171,0.365491356476469,0.017216424166687
18.8,-0.313821462922384,0.338564010360747,0.0548369128225158
19,-0.339668613061242,0.30573540529459,0.0913972023995629
19.2,-0.36284728361688,0.265739983813785,0.12462487358394
19.4,-0.383123451119995,0.218921276462185,0.15380859811906
19.6,-0.397138915132874,0.168825413829459,0.181387047193128
19.8,-0.401332022408738,0.120020323385168,0.210350198804133
20,-0.399068509562391,0.0699207194762973,0.23682071373173
20.2,-0.391776116772566,0.0179233430650858,0.258999994492493
20.4,-0.379159869657125,-0.0347349676057242,0.276963560803967
20.6,-0.360542853521471,-0.0863389239563342,0.291317839641617
20.8,-0.335801521959159,-0.135657087039038,0.302245278681189
21,-0.305316813219341,-0.181946125157025,0.309558874651941
21.2,-0.269954388730933,-0.22487516278052,0.312754575372664
21.4,-0.230434715541751,-0.263945023506534,0.311612204143268
21.6,-0.187500259155187,-0.298672552153053,0.306029437213785
21.8,-0.142118420869667,-0.328815930537643,0.295799000792489
22,-0.0952344550212493,-0.354154610185277,0.280834151618334
22.2,-0.0478909183317369,-0.374598724700358,0.261065343368355
22.4,-0.000758736252020011,-0.38977047716215,0.236873583606927
22.6,0.0453854661419515,-0.399483478458997,0.208601654891744
22.8,0.089803537110212,-0.403619228024384,0.176668867274731
23,0.131763061410823,-0.402173595235953,0.141522543974875
23.2,0.1707440303824,-0.395050312082583,0.103836660836591
23.4,0.206522541267664,-0.381985870810683,0.064579694767255
23.6,0.239720760167233,-0.361985922994079,0.0255447966424704
