"Time [ms]","InducedVoltage(PhaseA) []","InducedVoltage(PhaseB) []","InducedVoltage(PhaseC) []"
0,-144.914300145641,-405.922921227106,2.30762517046404
0.2,-54.3843298059547,-340.847009524028,74.5270511763395
0.4,36.1456405337316,-275.771097820949,146.746477182215
0.6,59.1711769476884,-273.52601634373,149.975925932591
0.8,74.940372699234,-273.167651780448,144.848291147897
1,88.5864647279931,-269.249377247374,136.802914810771
1.2,102.231148535674,-259.477353236532,128.297162246627
1.4,112.382751306299,-247.467865513628,116.128728524479
1.6,120.552421244072,-231.811812341067,102.148527418738
1.8,126.102195614898,-213.280186411611,86.0970261228973
2,129.704084790228,-191.445327602553,68.9468426341879
2.2,131.45793151822,-166.486934539716,51.145825663204
2.4,131.026116873172,-139.079692390783,32.6551081384674
2.6,128.133051772655,-109.965991243534,13.4821516442507
2.8,123.245470968736,-79.1619257254139,-5.65506608502562
3,116.463433299436,-47.1439718326749,-24.4588150091354
3.2,107.763550476131,-14.4566265486593,-42.6649018676791
3.4,100.470883960609,21.5552790802892,-56.9411863967457
3.6,94.5584970775064,60.218695660485,-67.2168393952356
3.8,84.9479943370712,95.7614863451942,-78.4302695199518
4,81.2391488967271,137.243610478387,-81.0002718557162
4.2,81.84805929251,182.77167772907,-76.4059393558565
4.4,100.020054577273,246.736292878647,-50.9047908674438
4.6,30.4569662192225,218.417321007399,-110.607462656065
4.8,-1.47864461375463,223.943542677805,-130.459453624539
5,-18.3664304857104,240.993172482782,-132.991776384254
5.2,-41.1507098975924,250.506318139198,-124.30872434436
5.4,-71.1145612228162,250.671671886822,-106.356139669198
5.6,-102.482723874292,244.255455074246,-89.3234638560361
5.8,-129.642527099832,236.568475651209,-68.3961432474674
6,-153.955279366569,225.897143519468,-45.693313717087
6.2,-176.110964400551,211.369142065552,-22.6601730094549
6.4,-194.203606696241,194.733860036538,1.84668318569073
6.6,-209.847925539225,174.440620996486,25.6197115541731
6.8,-221.762452085662,151.887143343969,49.3289410540744
7,-228.371024929901,128.742214767081,73.9478508651288
7.2,-231.141065045122,103.814870888507,97.5318832968512
7.4,-230.652703591854,76.8835896550901,119.122349568718
7.59999999999999,-225.985127439084,49.3588414231241,139.381006683394
7.79999999999999,-217.61131147426,21.267993841112,157.590966798733
8,-205.574210137018,-6.90287701247877,173.508584185648
8.2,-190.333471529474,-35.0209470198232,186.551340147036
8.4,-174.564729875748,-65.1379292671728,194.097945376459
8.6,-162.696260055573,-100.983786698531,191.961952316617
8.8,-145.80624248287,-132.91430978511,189.207481900434
9,-124.612090447264,-160.955236426765,185.350928706036
9.2,-110.298710685269,-195.815608078308,169.581794251523
9.4,-94.6539605146132,-228.581566817229,150.532970954754
9.6,-69.3048920629913,-250.920332343047,136.558945500848
9.8,-22.9861386133084,-247.358151561521,140.538816235129
10,10.3900161942114,-252.735374672768,129.141522627506
10.2,35.8489561577921,-261.881493538084,108.008738970958
10.4,62.2641631044155,-265.331338224091,86.8141343449805
10.6,90.3180963032588,-261.927222024994,66.9041129278078
10.8,121.323148958662,-250.020228622799,50.29248076036
11,150.561456744542,-234.255695838862,32.8774209859084
11.2,176.073730185397,-216.301289831714,13.4731037338526
11.4,197.766373212905,-196.073785018856,-7.22660489589466
11.6,215.758551354228,-173.452620050458,-28.4713666356301
11.8,228.532659467544,-150.004750147819,-51.1165754975496
12,236.351156290622,-125.619396615571,-74.394944726352
12.2,238.407974776583,-101.40890411478,-98.6576227569774
12.4,237.024123853398,-75.3830704966382,-121.095695952984
12.6,231.792043181016,-48.3705265422357,-141.776512064263
12.8,223.215700213606,-20.4323336539444,-159.997403366281
13,210.728232316812,7.29928335274549,-176.223445567672
13.2,195.717605584369,35.5647590423014,-189.02837059237
13.4,179.400816649239,64.9738302936667,-197.146446469652
13.6,166.685064372075,99.7975646928681,-195.873084312025
13.8,154.438643615329,136.229516892992,-188.559894252241
14,137.554891035794,168.430764534195,-180.546573335555
14.2,132.190821888466,212.246867838222,-156.066651837542
14.4,134.896820099853,264.767362353008,-118.528559122624
14.6,67.0638522185513,243.968481056935,-147.161688083128
14.8,15.8163471873937,235.139050409647,-156.358684020011
15,-12.8324959044351,245.368255554926,-140.32400622583
15.2,-40.2063680736847,252.746702783305,-121.053605127634
15.4,-68.4372813905798,254.615275563858,-101.397151003225
15.6,-100.644140196737,247.302983175551,-85.2874234566747
15.8,-128.968117123386,238.433566759763,-65.5468431026947
16,-153.85647277628,227.198895482979,-43.4717012500108
16.2,-176.571186891157,212.114124837352,-21.0290429893634
16.4,-195.322654531487,194.844310174434,2.81360952225806
16.6,-210.71567768406,174.798683357001,26.8026869598234
16.8,-222.860819007562,151.99489443432,50.2663465521666
