"Time [ms]","InducedVoltage(PhaseB) [V]","InputVoltage(PhaseB) [V]","Current(PhaseB) [A]"
0,-405.922921227106,-226.792398718744,0
0.2,-340.847009524028,-241.194282207179,-3.3200220003983
0.4,-275.771097820949,-251.792387782732,-13.4043371634725
0.6,-273.52601634373,-258.419576989482,-23.3756303000321
0.8,-273.167651780448,-260.971335094751,-32.8675500651324
1,-269.249377247374,-259.407419348879,-41.9387287219839
1.2,-259.477353236532,-253.752493637421,-50.5491154011246
1.4,-247.467865513628,-244.09573951694,-58.115108974679
1.6,-231.811812341067,-230.589449768585,-64.2376694711112
1.8,-213.280186411611,-213.446626649958,-68.6817412840565
2,-191.445327602553,-192.937622722268,-71.2937724848128
2.2,-166.486934539716,-169.385877228942,-72.0105443825436
2.4,-139.079692390783,-143.162815265542,-70.9177308515165
2.6,-109.965991243534,-114.681990184129,-67.969420668462
2.8,-79.1619257254139,-84.3925616098579,-63.2747240525601
3,-47.1439718326749,-52.7722119253715,-56.9185063727416
3.2,-14.4566265486593,-20.319612934274,-49.1280987714429
3.4,21.5552790802892,12.4534384911042,-40.2115068163689
3.6,60.218695660485,45.0300917521156,-30.4713046766711
3.8,95.7614863451942,76.8965935664879,-20.0112274730893
4,137.243610478387,107.550390164487,-9.5688372597835
4.2,182.77167772907,136.508052862077,-0.434914608368597
4.4,246.736292878647,163.312902020051,2.33253466087288
4.6,218.417321007399,187.542209154754,10.8396199314494
4.8,223.943542677805,208.81386361879,22.657680560627
5,240.993172482782,226.792398714195,35.006269163399
5.2,250.506318139198,234.845092747586,47.2234737975157
5.4,250.671671886822,239.19413937414,58.8401914174453
5.6,244.255455074246,239.770951535111,69.7548555852062
5.8,236.568475651209,236.566432558149,79.4834197336118
6,225.897143519468,229.631119621808,87.9526952517372
6.2,211.369142065552,219.07438675405,94.9246809740888
6.4,194.733860036538,205.062719938486,100.304663310495
6.6,174.440620996486,187.81709153096,103.868204715264
6.8,151.887143343969,167.609475393499,105.420808408141
7,128.742214767081,144.758557704035,105.077072988223
7.2,103.814870888507,119.624711085008,102.843377677189
7.4,76.8835896550901,92.6043113118314,98.7831359840205
7.59999999999999,49.3588414231241,64.1234862301331,92.9044476281546
7.79999999999999,21.267993841112,34.6313954650717,85.3149596423305
8,-6.90287701247877,4.59314690573317,76.2066715015361
8.2,-35.0209470198232,-25.5175383241217,65.7685025675688
8.4,-65.1379292671728,-55.2257967311666,54.3819319164632
8.6,-100.983786698531,-84.0631113334692,42.5091589713263
8.8,-132.91430978511,-111.574700453174,30.3605383703525
9,-160.955236426765,-137.326689895238,18.2523418822182
9.2,-195.815608078308,-160.912955402665,7.26705845248669
9.4,-228.581566817229,-181.961527478652,-2.12180606673494
9.6,-250.920332343047,-200.140457567753,-8.15280267180611
9.8,-247.358151561521,-215.163053082896,-19.3039905995826
10,-252.735374672768,-226.792398718744,-32.2662759972915
10.2,-261.881493538084,-234.845092747586,-45.0130171193141
10.4,-265.331338224091,-239.19413937414,-57.0564820326202
10.6,-261.927222024994,-239.770951535111,-68.2981720191141
10.8,-250.020228622799,-236.566432558149,-78.503165588219
11,-234.255695838862,-229.631119621808,-87.0174585935166
11.2,-216.301289831714,-219.07438675405,-93.7989715548333
11.4,-196.073785018856,-205.062719938485,-98.811405379531
11.6,-173.452620050458,-187.817091530959,-101.979320216642
11.8,-150.004750147819,-167.609475393498,-103.259215474247
12,-125.619396615571,-144.758557704034,-102.762409541507
12.2,-101.40890411478,-119.624711085006,-100.438662323641
12.4,-75.3830704966382,-92.6043113118295,-96.2607825983559
12.6,-48.3705265422357,-64.123486230131,-90.3045126559263
12.8,-20.4323336539444,-34.6313954650697,-82.5636084150803
13,7.29928335274549,-4.59314690573097,-73.2489600235521
13.2,35.5647590423014,25.5175383241241,-62.5146162043062
13.4,64.9738302936667,55.2257967311688,-50.6313684435609
13.6,99.7975646928681,84.0631113334715,-38.1690711974542
13.8,136.229516892992,111.574700453176,-25.6162340078782
14,168.430764534195,137.32668989524,-13.216261954129
14.2,212.246867838222,160.912955402667,-2.55507096639499
14.4,264.767362353008,181.961527478653,2.77958989040526
14.6,243.968481056935,200.140457567754,9.85754469217171
14.8,235.139050409647,215.163053082897,21.7780967349036
15,245.368255554926,226.792398718745,34.3702165213735
15.2,252.746702783305,234.845092747586,46.6883765582621
15.4,254.615275563858,239.19413937414,58.3686449425994
15.6,247.302983175551,239.77095153511,69.3403663246866
15.8,238.433566759763,236.566432558148,79.1000506533671
16,227.198895482979,229.631119621808,87.4601936801896
16.2,212.114124837352,219.074386754049,94.3587740739783
16.4,194.844310174434,205.062719938484,99.6448139250691
16.6,174.798683357001,187.817091530959,103.149788215641
16.8,151.99489443432,167.609475393497,104.728491358385
17,128.367503778991,144.758557704033,104.327761784686
17.2,103.395483424069,119.624711085006,102.102535841606
17.4,76.7937933364973,92.6043113118295,98.0129596562503
17.6,49.2054330955868,64.1234862301314,92.1217240006211
17.8,21.3107173528632,34.6313954650701,84.4955274336464
18,-7.08514916697101,4.59314690573184,75.2900036659191
18.2,-35.3329355677071,-25.5175383241228,64.7659054941014
18.4,-65.3813661491009,-55.2257967311675,53.2086618066004
18.6,-101.030543229973,-84.0631113334698,41.2077594229779
18.8,-134.636730578614,-111.574700453175,28.9610795566609
19,-164.143025330782,-137.326689895238,16.8075715499041
19.2,-199.977107404027,-160.912955402665,5.93766569378651
19.4,-234.093536757999,-181.961527478652,-2.83494629883933
19.6,-250.479313163631,-200.140457567752,-8.76138283801275
19.8,-244.025452221456,-215.163053082896,-19.9637464189854
20,-250.498019544352,-226.792398718744,-32.8876690302904
20.2,-259.986882056058,-234.845092747586,-45.5563318205693
20.4,-263.29155335405,-239.194139374139,-57.5412701945869
20.6,-258.01978175305,-239.770951535111,-68.6554177633617
20.8,-246.590815413521,-236.566432558149,-78.7626898677501
21,-231.445190589932,-229.631119621809,-87.1662963357521
21.2,-214.645188117477,-219.074386754051,-93.9280551333453
21.4,-195.34930363007,-205.062719938487,-98.9875719579326
21.6,-173.637643232595,-187.817091530961,-102.24846699846
21.8,-150.716891922949,-167.6094753935,-103.658953452784
22,-126.693398238169,-144.758557704037,-103.152348833416
22.2,-102.220572575406,-119.62471108501,-100.887855289049
22.4,-75.8587623089582,-92.6043113118339,-96.7528676279412
22.6,-48.5650064842341,-64.1234862301359,-90.7897119480393
22.8,-20.6787478269366,-34.6313954650748,-83.098253704842
23,7.22816394215647,-4.59314690573656,-73.7887048432925
23.2,35.6164157668512,25.5175383241181,-63.0860816585802
23.4,65.3222063594971,55.2257967311629,-51.247860428122
23.6,99.9997390830212,84.0631113334654,-38.8779609115373
23.8,135.889172017457,111.574700453171,-26.4062987167892
24,168.533649117683,137.326689895234,-14.0498107049437
24.2,209.497123633095,160.912955402661,-3.32742597951819
24.4,254.807270295511,181.961527478648,3.14659657611486
24.6,247.485605162458,200.14045756775,9.62570483067696
24.8,237.00862429599,215.163053082894,21.3060152278359
25,246.423463617694,226.792398718742,33.9937507365967
25.2,254.503286250698,234.845092747585,46.4004067614592
25.4,256.573758480491,239.194139374139,58.1221824370149
25.6,249.965710352307,239.770951535111,69.1560806986112
25.8,239.647617642708,236.56643255815,78.9391999348861
26,227.852802237866,229.63111962181,87.2919127102825
26.2,212.605567680141,219.074386754053,94.1288966069246
26.4,194.726892879025,205.062719938489,99.3576265092588
26.6,174.750940177772,187.817091530964,102.810902683043
26.7999999999999,151.882689559171,167.609475393504,104.366761353072
26.9999999999999,128.123883458723,144.758557704041,103.997482975761
27.1999999999999,103.207887259978,119.624711085014,101.713926104194
27.3999999999999,76.5865864609597,92.6043113118379,97.6414763432993
27.5999999999999,49.0949230923432,64.12348623014,91.7274292692685
27.7999999999999,21.222437315333,34.6313954650791,84.0962919432319
27.9999999999999,-7.20026605411456,4.59314690574085,74.8602294694461
28.1999999999999,-35.4093706873557,-25.5175383241138,64.2613263563816
28.3999999999999,-65.4682806796247,-55.2257967311587,52.641367810697
28.5999999999999,-100.902941068128,-84.063111333461,40.5364751271497
28.7999999999999,-134.904778579616,-111.574700453166,28.2465045558585
28.9999999999999,-165.943438186066,-137.32668989523,16.0299120147606
29.1999999999999,-202.371078280064,-160.912955402658,5.19634762711482
29.3999999999999,-237.639941848924,-181.961527478645,-3.08103821491487
