"Time [ms]","ElecPower []","MechPower []"
0,0,-0.866604646266891
0.2,529.305786822397,-2194.94522831519
0.4,3906.44399007294,-4349.63714467803
0.6,7709.84449776343,-5877.43052684057
0.8,11666.4740597525,-6738.56885221955
1,15672.2175334727,-6868.87329394088
1.2,19577.7721648259,-6165.55949743779
1.4,23025.9386781233,-4735.41183311766
1.6,25761.7597490684,-2693.8548417747
1.8,27651.2702168145,-146.213656520345
2,28643.3390497277,2809.90040435702
2.2,28783.8520978732,6001.12489467573
2.4,28204.9433762177,9200.53252054078
2.6,27045.9942109467,12288.3905474428
2.8,25511.5340884022,15158.9645973532
3,23805.4430544583,17723.9367847477
3.2,22193.4564882709,19916.9262497549
3.4,20816.3336183738,21783.2513816297
3.6,19794.7098252363,23418.7863010866
3.8,19258.8467576357,24661.0366218829
4,19171.3383933112,25578.8156140895
4.2,19309.0489663043,26296.4811340925
4.4,18499.9906711316,27688.0279250153
4.6,19135.69713022,27764.4771916137
4.8,20981.0763311517,27093.8379739
5,23429.5660017248,26290.8739892897
5.2,23306.2452343959,25418.6042668351
5.4,23477.1641134535,24488.3235224699
5.6,24000.7442119248,23478.9977342434
5.8,24770.7503997177,22427.9960028224
6,25811.6647129542,21433.6283181532
6.2,27072.9750636226,20584.2512408795
6.4,28557.4273073357,19901.5712017437
6.6,30158.2750783539,19373.2889178678
6.8,31779.056675405,19077.3623220843
7,33435.8965145809,19046.7423134836
7.2,35073.4913558824,19287.5395127189
7.4,36611.0076202653,19750.785161009
7.59999999999999,37912.9087006352,20451.5278943538
7.79999999999999,38917.5237334031,21441.4796282989
8,39634.0807725938,22626.1565689969
8.2,40104.5421952928,23959.2480360938
8.4,40290.4061021324,25422.5634381857
8.6,40027.4592171678,27178.8365676016
8.8,39329.9545945722,28983.3673201027
9,38227.2798927329,30609.2839105836
9.2,36514.9297966492,32080.2647488002
9.4,34069.8448483376,33453.0537375098
9.6,30640.1905239535,34950.9231394927
9.8,28345.4325641087,35203.8664933072
10,26620.9005346388,34772.6851598616
10.2,25109.5493266052,34026.0178394308
10.4,23838.1296277015,33045.793553178
10.6,22963.047662411,31830.5220393179
10.8,22528.2443143023,30429.0035275727
11,22346.5729683536,28971.0677462651
11.2,22423.9904824164,27539.1822420967
11.4,22785.3671364975,26156.2267386065
11.6,23393.307111842,24836.9636998752
11.8,24233.9675470106,23688.9309742079
12,25260.6144399219,22782.3167074045
12.2,26355.910958639,22087.79862898
12.4,27494.1915044662,21569.6453137832
12.6,28643.6577410533,21254.8051917391
12.8,29715.4428697242,21239.1482044407
13,30629.5111276611,21459.6133652293
13.2,31331.4715311801,21860.3950333268
13.4,31878.1397637055,22428.4523647869
13.6,32163.0913433263,23291.5389962202
13.8,32100.0532623663,24428.508621806
14,31702.3627407091,25494.6070245746
14.2,30624.6434655416,26614.2841032081
14.4,28128.1438988095,28251.8955113525
14.6,25915.8895914431,29165.1806111899
14.8,24813.5640132953,28947.523036545
15,24094.4345107823,28315.3506198299
15.2,23661.9130513501,27477.2236544585
15.4,23521.1023976896,26513.3595028588
15.6,23741.7020106507,25463.5563481762
15.8,24216.4882972309,24325.3897799479
16,24936.583949766,23218.4183128201
16.2,25912.2118490972,22230.6543323079
16.4,27120.5268925069,21370.3103569451
16.6,28499.1774919583,20661.3561176461
16.8,29944.7733176391,20148.1801436526
17,31424.8718068662,19921.888069326
17.2,32936.8237680442,19927.5827087189
17.4,34388.717332413,20157.0354551746
17.6,35683.1187603888,20610.8814541843
17.8,36701.3525316866,21343.4484468002
18,37454.3496839348,22311.3189099952
18.2,37965.0458590264,23409.9662527151
18.4,38233.8683440807,24668.1939474373
18.6,38104.6589398443,26208.7872929566
18.8,37546.3619347266,27866.8627079834
19,36602.0558468636,29364.438037703
19.2,35034.2194515106,30746.4963328226
19.4,32694.935998015,32135.1802309893
19.6,29500.038885107,33541.5383903843
19.8,27434.979951198,33704.181787208
20,25986.2597170134,33214.7861754444
20.2,24767.7017540865,32455.0079949026
20.4,23806.9878181392,31479.7948841082
20.6,23196.7712794624,30307.3522421667
20.8,23001.6670973709,28969.832503637
21,23011.9858548127,27592.5930568334
21.2,23294.5842820412,26279.9844884951
21.4,23844.4959700879,25016.0675801844
21.6,24640.1832542673,23858.7101709201
21.8,25636.5857709286,22864.1315289273
22,26723.6391434474,22116.4559313736
22.2,27921.9702959875,21593.6658717665
22.4,29137.6773482543,21248.4125608994
22.6,30323.5626193854,21124.1569401016
22.8,31391.2409457968,21267.5996839445
23,32259.1673943793,21683.7450808232
23.2,32909.6757498331,22251.3206906854
23.4,33352.1078447249,22978.982218106
23.6,33554.2938448644,24002.1080569586
23.8,33374.1689952153,25245.4655317528
24,32821.1900485973,26436.9246919411
24.2,31634.8150955871,27596.9721248469
24.4,29254.0778534511,29138.6058437703
24.6,26744.732063707,30222.9257516277
24.8,25382.6181083653,30089.8246643159
25,24498.8647061283,29485.7496049285
25.2,23894.3917639528,28655.8830767328
25.4,23561.3771618105,27699.2841940745
25.6,23608.6751588362,26606.8692811476
25.8,23911.1371385523,25432.692174983
26,24458.6525760638,24254.8615446472
26.2,25265.2422380603,23188.9287440815
26.4,26313.9397998576,22230.7229786091
26.6,27551.4289696452,21408.8106289058
26.7999999999999,28896.8643784964,20784.1846096437
26.9999999999999,30289.6809645463,20421.4252113549
27.1999999999999,31715.2112685335,20311.1150112852
27.3999999999999,33121.4215538983,20395.8578925449
27.5999999999999,34393.6709816884,20716.5208405096
27.7999999999999,35436.2452379348,21309.9144452895
27.9999999999999,36185.9678624472,22137.0269858707
28.1999999999999,36739.7761297648,23115.5384845691
28.3999999999999,37060.4760194553,24239.2116984409
28.5999999999999,37008.0495782554,25668.1934942924
28.7999999999999,36542.9833432384,27220.0934536877
28.9999999999999,35681.4891899839,28656.9039809108
29.1999999999999,34223.3824271329,29987.4086492835
29.3999999999999,31880.9089935017,31380.1763886701
29.5999999999999,28843.9593261518,32748.0486950863
29.7999999999999,26930.4431886655,32841.8309788196
30,25629.3137361483,32325.6213123924
