"Time [ms]","Current(PhaseA) [A]","Current(PhaseB) [A]","Current(PhaseC) [A]"
0,0,0,0
0.2,12.9418400912644,-14.5452286934704,1.60338860220596
0.4,26.0713290384698,-27.9919061704154,1.92057713194562
0.6,39.2772813449268,-40.4855517527462,1.20827040781943
0.8,52.3628098693257,-51.8228989643961,-0.539910904929577
1,65.0619762302754,-61.8055724207428,-3.2564038095326
1.2,77.2280467978294,-70.2793004482277,-6.94874634960165
1.4,88.6191091566118,-77.1357124063671,-11.4833967502447
1.6,98.9888029896016,-82.2055743530122,-16.7832286365895
1.8,108.268414843971,-85.494316409828,-22.7740984341428
2,116.232796608244,-86.9434284015496,-29.2893682066945
2.2,122.74991476621,-86.4956601046686,-36.2542546615417
2.4,127.752414330839,-84.2734479856071,-43.4789663452318
2.6,131.135896462577,-80.2513531475326,-50.8845433150445
2.8,132.89014695047,-74.5594677015236,-58.3306792489459
3,132.988677606587,-67.290165797741,-65.6985118088465
3.2,131.668181046047,-58.574556115937,-73.0936249301095
3.4,128.670770902732,-48.493401268186,-80.1773696345456
3.6,123.967611330237,-37.1458409259159,-86.8217704043213
3.8,117.67030789053,-24.7445431506993,-92.9257647398308
4,109.787415060303,-11.4380775124747,-98.3493375478287
4.2,100.48755288326,2.48765382871636,-102.975206711976
4.4,89.8677806445869,16.8088044067256,-106.676585051312
4.6,78.1258871204656,31.4561111857805,-109.581998306246
4.8,65.5108149176144,46.0082253478292,-111.519040265444
5,52.3144048469398,60.2402586283432,-112.554663475283
5.2,38.5820071023288,73.7039307992336,-112.285937901562
5.4,24.1592238047334,86.0343503136075,-110.193574118341
5.6,9.21864272565838,97.0239500618407,-106.242592787499
5.8,-6.07559319237062,106.411130224762,-100.335537032392
6,-21.5935751535065,114.181061236877,-92.5874860833703
6.2,-37.0235207936721,120.044494745663,-83.0209739519906
6.4,-52.2090991136205,124.031196120913,-71.8220970072925
6.6,-66.923512729211,126.360942110044,-59.4374293808326
6.8,-80.8171387926749,126.993868106467,-46.1767293137917
7,-93.6158817785725,125.813521470781,-32.1976396922087
7.2,-105.121909884334,122.693909717895,-17.5719998335615
7.4,-115.188099265501,117.661500901982,-2.47340163648059
7.59999999999999,-123.513381649348,110.62251432282,12.8908673265288
7.79999999999999,-130.006831917978,101.615843385355,28.3909885326233
8,-134.887039995272,90.977826647409,43.9092133478633
8.2,-138.094137585871,78.8536852757812,59.2404523100899
8.4,-139.465125960435,65.4975165648928,73.9676093955422
8.6,-138.84440673829,51.1253243607709,87.7190823775191
8.8,-136.461601865064,36.2829117822645,100.1786900828
9,-132.21784306588,21.2141714477196,111.00367161816
9.2,-125.975826108905,5.83683510957619,120.138990999329
9.4,-117.654644360803,-9.73347689368977,127.388121254493
9.6,-107.406768370688,-25.3996325503147,132.806400921002
9.8,-95.6018157316804,-41.0141213439394,136.61593707562
10,-82.1818615598291,-56.2826434172201,138.464504977049
10.2,-67.3645299001988,-70.8239939959111,138.18852389611
10.4,-51.6262023029963,-84.1414897231461,135.767692026142
10.6,-35.600509018735,-96.0275171239749,131.62802614271
10.8,-19.8344758910181,-105.963342174405,125.797818065423
11,-4.13477847438256,-113.907758145715,118.042536620097
11.2,11.576631472248,-119.861393811228,108.28476233898
11.4,27.1978035905152,-123.811563203794,96.6137596132789
11.6,42.5326986387711,-125.969524126979,83.4368254882083
11.8,57.2137269467564,-126.132453075943,68.9187261291871
12,70.9708416870993,-124.426032033979,53.45519034688
12.2,83.2041776968898,-120.779575138152,37.5753974412626
12.4,93.5748239045479,-115.387491882502,21.812667977954
12.6,102.096235510415,-108.239453220683,6.14321771026759
12.8,108.710603772455,-99.1244228479803,-9.58618092447455
13,113.358281646963,-88.184021043239,-25.1742606037238
13.2,115.952061234714,-75.5982429898077,-40.3538182449065
13.4,116.76925366206,-61.7662971708905,-55.0029564911694
13.6,115.784282351218,-47.1522435717845,-68.6320387794333
13.8,113.004078216739,-32.150500710108,-80.8535775066308
14,108.442040752776,-16.9233564624609,-91.5186842903146
14.2,101.922738042949,-1.39492845806161,-100.527809584887
14.4,93.5030768352594,14.2178853366816,-107.720962171941
14.6,83.2864238067735,29.7049732394139,-112.991397046187
14.8,71.4492386676396,44.9343256523453,-116.383564319985
15,58.3618344858677,59.5100450327023,-117.87187951857
15.2,44.458634589051,73.1635576677672,-117.622192256818
15.4,30.0398490301512,85.6170060497703,-115.656855079921
15.6,15.0567597593878,96.6677037681917,-111.72446352758
15.8,-0.266906727921789,106.149775341328,-105.882868613407
16,-15.784560022384,113.872902372025,-98.0883423496414
16.2,-31.3072630388648,119.772191271774,-88.4649282329087
16.4,-46.583852167051,123.73808889751,-77.1542367304594
16.6,-61.4492126549161,125.990195016698,-64.5409823617814
16.8,-75.5349678131158,126.576992666759,-51.042024853643
17,-88.4450863280695,125.305010247262,-36.8599239191927
17.2,-100.019036881414,122.180990719388,-22.1619538379741
17.4,-110.093515458698,117.091896372531,-6.998380913833
17.6,-118.486127727683,110.0417277486,8.44439997908307
17.8,-124.958926274802,100.991768031024,23.9671582437776
18,-129.629531089396,90.161689637095,39.4678414523008
18.2,-132.683951577658,77.9351095823158,54.7488419953427
18.4,-133.89605073687,64.4431090093206,69.452941727549
18.6,-133.183671764787,50.0463042853421,83.1373674794445
18.8,-130.627119615118,35.1492087799327,95.4779108351853
19,-126.29957425001,20.0383202759498,106.26125397406
19.2,-119.93834058372,4.65979647143863,115.278544112282
19.4,-111.589163409952,-10.9431009327159,122.532264342668
19.6,-101.279437612993,-26.5498260853264,127.829263698319
19.8,-89.3254647220324,-42.0573703606235,131.382835082656
20,-75.968764493162,-57.1768409538004,133.145605446962
20.2,-61.3889657597638,-71.5183859022548,132.907351662019
20.4,-46.0412336928812,-84.6331900406959,130.674423733577
20.6,-30.5207018389645,-96.0880949717385,126.608796810703
20.8,-15.0046721335512,-105.890910156128,120.895582289679
21,0.616532221877321,-113.79330106945,113.176768847573
21.2,16.2836062425724,-119.697059908184,103.413453665612
21.4,31.8236556589239,-123.659580052383,91.8359243934594
21.6,47.0653563063627,-125.818882386757,78.7535260803943
21.8,61.645091207669,-126.11397918306,64.4688879753915
22,75.0956088769416,-124.438207940471,49.3425990635297
22.2,87.1727803794882,-121.006817708356,33.8340373288682
22.4,97.4086479476729,-115.774450021772,18.3658020740988
22.6,105.880692533194,-108.632753323662,2.75206079046801
22.8,112.479500721223,-99.5597446950421,-12.9197560261807
23,117.083451389951,-88.5987517498739,-28.4846996400773
23.2,119.730988588628,-76.0485135911367,-43.6824749974917
23.4,120.570582288608,-62.2920510222266,-58.2785312663814
23.6,119.694608065644,-47.7378519315054,-71.9567561341389
23.8,116.972680653631,-32.7763642575841,-84.1963163960466
24,112.381667040663,-17.5458429036758,-94.8358241369876
24.2,105.901778598878,-2.04990429711023,-103.851874301768
24.4,97.4586660980071,13.5631972593175,-111.021863357325
24.6,87.1940764456321,29.101640821668,-116.2957172673
24.8,75.2695478118501,44.3350778698282,-119.604625681678
25,62.1018492504166,59.0533213482022,-121.155170598619
25.2,48.0889285108971,72.8524522662219,-120.941380777119
25.4,33.541032991053,85.3953296976188,-118.936362688672
25.6,18.568174549193,96.5047371237464,-115.072911672939
25.8,3.20734357442471,106.02392986389,-109.231273438315
26,-12.3276812185942,113.79285522434,-101.465174005746
26.2,-27.8777009508041,119.660983445302,-91.7832824944979
26.4,-43.2305889865651,123.637563570105,-80.40697458354
26.6,-58.1452120523187,125.839054947447,-67.6938428951288
26.7999999999999,-72.3710504231919,126.357911521812,-53.9868610986205
26.9999999999999,-85.4178307721619,125.064629716793,-39.6467989446314
27.1999999999999,-97.0216535879865,121.860864832433,-24.8392112444468
27.3999999999999,-107.130807715821,116.774337406976,-9.64352969115482
27.5999999999999,-115.527117378946,109.692549119568,5.83456825937793
27.7999999999999,-122.048240516424,100.649421445958,21.398819070466
27.9999999999999,-126.586112671822,89.7522717682184,36.8338409036036
28.1999999999999,-129.554699994583,77.414615147447,52.140084847136
28.3999999999999,-130.718348671046,63.8868314227091,66.8315172483372
28.5999999999999,-129.944650200698,49.4463081862976,80.4983420144006
28.7999999999999,-127.356612378473,34.5577801708704,92.7988322076027
28.9999999999999,-122.921092053844,19.3924151768017,103.528676877042
29.1999999999999,-116.558914860158,3.97702801295473,112.581886847203
29.3999999999999,-108.162776885648,-11.5539012669565,119.716678152605
29.5999999999999,-97.8186416631376,-27.1994842328329,125.018125895971
29.7999999999999,-85.837109641496,-42.6372402558388,128.474349897335
30,-72.5059670507283,-57.6616866598925,130.167653710621
