"Time [ms]","InducedVoltage(PhaseA) [V]","InducedVoltage(PhaseB) [V]","InducedVoltage(PhaseC) [V]"
0,41.9909978509387,-215.096625755079,189.240501306236
0.2,54.6622155962057,-228.70145881732,183.513790617776
0.4,67.3334333414728,-242.306291879562,177.787079929316
0.6,81.1050931099671,-249.913777180822,171.684013481777
0.8,93.0518960932959,-254.128987394386,162.605795686584
1,103.568909027984,-254.319797959343,151.255747784582
1.2,111.948415950393,-251.009276432952,137.298116376105
1.4,118.519012378936,-243.796664395783,121.381714380654
1.6,123.3816510068,-232.618603356515,103.951023496172
1.8,126.492359513463,-217.573446374691,85.3397466441541
2,127.906753927754,-198.820000070566,65.9083019601562
2.2,127.708585792249,-176.553642553219,46.0800064047152
2.4,125.706086942701,-151.285219956899,25.961898621104
2.6,121.340989227847,-124.028236686019,5.28528862583803
2.8,114.988100603206,-94.8787083077231,-15.3137808199839
3,105.964509707269,-65.082975788176,-36.2943897544323
3.2,93.9337791835545,-35.5331231833456,-57.7019782842082
3.4,81.1246695197826,-4.74096866356077,-77.2897314199421
3.6,67.4159280937428,26.4677229754631,-95.0725964616098
3.8,52.6925498914826,57.2908321308538,-111.088480886575
4,37.5971731267996,87.6191938074289,-124.705950454444
4.2,21.7534946942782,116.39243347207,-136.316457603817
4.4,5.39488095571222,143.125380847347,-145.776925410552
4.6,-11.1654006305023,167.4254183789,-152.830391815576
4.8,-28.1777054813206,188.459409890269,-157.899787270877
5,-45.2276745148142,206.051224574609,-160.714206164463
5.2,-66.9771426989305,216.89962813009,-151.027782402246
5.4,-92.3551401096989,221.510443076496,-128.442549039938
5.6,-116.149204970564,222.72575445965,-103.756239129257
5.8,-138.82054858137,219.695345396583,-78.2412133678675
6,-159.181091818273,213.24244076578,-51.4799964689255
6.2,-177.482105811172,202.958231516225,-24.4706929099767
6.4,-193.112425269684,189.271546991864,2.67306341253853
6.6,-206.455435930293,171.710940057523,28.9526567141904
6.8,-216.279910015759,151.61279878959,55.0158382185381
7,-221.738029085478,130.018096770695,81.1359842299425
7.2,-223.546971063072,106.489003164401,106.063788161739
7.4,-221.997596519703,81.069007843754,129.07247299648
7.59999999999999,-215.86230044817,55.481734691176,151.079683970106
7.79999999999999,-205.155762325898,30.2072771127529,171.781955588469
8,-188.724226155714,6.85084472058617,192.081827962526
8.2,-169.036793487353,-16.4074235857498,209.454413061827
