"Time [ms]","InducedVoltage(PhaseA) [V]","InputVoltage(PhaseA) [V]","Current(PhaseA) [A]"
0,41.9909978509387,45.3968911823872,0
0.2,54.6622155962057,63.2033754526481,12.9418400912644
0.4,67.3334333414728,80.0131047361442,26.0713290384698
0.6,81.1050931099671,95.5609795604189,39.2772813449268
0.8,93.0518960932959,109.601800651634,52.3628098693257
1,103.568909027984,121.914135873591,65.0619762302754
1.2,111.948415950393,132.303812344798,77.2280467978294
1.4,118.519012378936,140.606978660806,88.6191091566118
1.6,123.3816510068,146.692688928733,98.9888029896016
1.8,126.492359513463,150.464967862219,108.268414843971
2,127.906753927754,151.864324369029,116.232796608244
2.2,127.708585792249,150.868689761112,122.74991476621
2.4,125.706086942701,147.493765790996,127.752414330839
2.6,121.340989227847,141.792777025768,131.135896462577
2.8,114.988100603206,133.855631463864,132.89014695047
3,105.964509707269,123.807502632216,132.988677606587
3.2,93.9337791835545,111.806855524963,131.668181046047
3.4,81.1246695197826,98.0429475158292,128.670770902732
3.6,67.4159280937428,82.732843656284,123.967611330237
3.8,52.6925498914826,66.1179934300111,117.67030789053
4,37.5971731267996,48.4604229503161,109.787415060303
4.2,21.7534946942782,30.0386026517932,100.48755288326
4.4,5.39488095571222,11.1430556452208,89.8677806445869
4.6,-11.1654006305023,-7.92822400544566,78.1258871204656
4.8,-28.1777054813206,-26.8744708274751,65.5108149176144
5,-45.2276745148142,-45.3968911905347,52.3144048469398
5.2,-66.9771426989305,-74.5758801174393,38.5820071023288
5.4,-92.3551401096989,-102.578762873568,24.1592238047334
5.6,-116.149204970564,-128.963917261598,9.21864272565838
5.8,-138.82054858137,-153.315233635103,-6.07559319237062
6,-159.181091818273,-175.248677188101,-21.5935751535065
6.2,-177.482105811172,-194.418344413357,-37.0235207936721
6.4,-193.112425269684,-210.521918207325,-52.2090991136205
6.6,-206.455435930293,-223.305435591465,-66.923512729211
6.8,-216.279910015759,-232.567292860127,-80.8171387926749
7,-221.738029085478,-238.161424991418,-93.6158817785725
7.2,-223.546971063072,-239.999609179856,-105.121909884334
7.4,-221.997596519703,-238.052856162709,-115.188099265501
7.59999999999999,-215.86230044817,-232.351867397994,-123.513381649348
7.79999999999999,-205.155762325898,-222.986550884134,-130.006831917978
8,-188.724226155714,-210.104603257123,-134.887039995272
8.2,-169.036793487353,-193.909180526341,-138.094137585871
8.4,-148.099635103686,-174.655694182929,-139.465125960435
8.6,-126.990284114687,-152.647783207997,-138.84440673829
8.8,-105.432640947442,-128.23252550451,-136.461601865064
9,-83.1818277109589,-101.794964271418,-132.21784306588
9.2,-59.1219829841394,-73.7520356424028,-125.975826108905
9.4,-34.925219106253,-44.545993353976,-117.654644360803
9.6,-12.0065068505701,-14.6374341398704,-107.406768370688
9.8,9.24483923403163,15.5019661546002,-95.6018157316804
10,32.0566897475605,45.3968911823871,-82.1818615598291
10.2,56.2595549391737,74.5758801174397,-67.3645299001988
10.4,81.7709907837974,102.578762873569,-51.6262023029963
10.6,108.284969797501,128.963917261599,-35.600509018735
10.8,136.090506515203,153.315233635103,-19.8344758910181
11,160.522527080014,175.248677188101,-4.13477847438256
11.2,181.299944608801,194.418344413357,11.576631472248
11.4,200.206521325256,210.521918207326,27.1978035905152
11.6,217.260575551623,223.305435591466,42.5326986387711
11.8,229.296977054943,232.567292860128,57.2137269467564
12,235.253398603397,238.161424991419,70.9708416870993
12.2,234.631951769018,239.999609179856,83.2041776968898
12.4,227.71153053422,238.052856162709,93.5748239045479
12.6,219.310352991741,232.351867397993,102.096235510415
12.8,208.984647115292,222.986550884134,108.710603772455
13,194.985079599966,210.104603257122,113.358281646963
13.2,177.98703654643,193.909180526339,115.952061234714
13.4,157.995295576013,174.655694182927,116.76925366206
13.6,136.935288232157,152.647783207995,115.784282351218
13.8,116.07324032841,128.232525504508,113.004078216739
14,93.2776217914921,101.794964271416,108.442040752776
14.2,68.1128500188605,73.7520356424006,101.922738042949
14.4,41.7851773304187,44.545993353974,93.5030768352594
14.6,15.1152132381366,14.6374341398681,83.2864238067735
14.8,-11.9418671498928,-15.5019661546023,71.4492386676396
15,-38.6292139213509,-45.3968911823894,58.3618344858677
15.2,-65.1219504447606,-74.5758801174418,44.458634589051
15.4,-91.2908102214399,-102.578762873571,30.0398490301512
15.6,-116.411927417595,-128.963917261601,15.0567597593878
15.8,-138.827794574305,-153.315233635105,-0.266906727921789
16,-159.925264871704,-175.248677188102,-15.784560022384
16.2,-178.585092682382,-194.418344413358,-31.3072630388648
16.4,-194.908018092656,-210.521918207326,-46.583852167051
16.6,-209.00830429917,-223.305435591466,-61.4492126549161
