"Time [ms]","ElecPower []","MechPower []"
0,0,-0.866621163524074
0.2,4631.77285705214,-2691.63197106234
0.4,9538.04413935029,-4476.61283624968
0.6,14564.3809579274,-5380.46830920162
0.8,19425.2074160626,-5433.3550965674
1,23854.7272342213,-4654.18777962937
1.2,27630.0768548116,-3044.85425787766
1.4,30590.506783802,-764.987991742344
1.6,32598.8418780827,2034.2736167189
1.8,33643.076833597,5210.79407939973
2,33735.0010112566,8628.7576988413
2.2,32948.3652796904,12097.1292658111
2.4,31451.7506678912,15389.6909162076
2.6,29412.5662271767,18389.2973422786
2.8,27062.2725382783,20998.3492634588
3,24631.7618345199,23132.1649130701
3.2,22399.0725093686,24721.8330856508
3.4,20534.9505181792,25766.8353818468
3.6,19227.4997606675,26355.2717366152
3.8,18639.0681817223,26513.5633253874
4,18868.305301666,26299.0325478547
4.2,19954.2608692599,25810.0919705396
4.4,21866.5983830105,25226.6273926965
4.6,24587.3547662376,24694.8614153434
4.8,27926.6201299936,24265.6930684451
5,31704.0317140413,24042.1450798619
5.2,32427.6981849751,24015.6626222558
5.4,33154.8257061223,24123.1104518439
5.6,33847.0791705978,24276.9418081942
5.8,34457.836204047,24464.4071561496
6,35038.9040448549,24723.4970267013
6.2,35543.694335591,25067.5821687358
6.4,36033.2430594073,25460.4243793177
6.6,36567.7928475889,25849.8837412988
6.8,37081.2592432585,26298.9266688554
7,37500.9238468505,26809.0120923129
7.2,37791.2131010858,27353.146490415
7.4,37957.0656161927,27879.2610011956
7.59999999999999,37960.6758909808,28396.1292289114
7.79999999999999,37856.4625561214,28952.490043469
8,37782.1089280535,29467.0721615042
8.2,37764.5071923654,29935.0027216669
8.4,37745.0101799191,30346.3426380275
8.6,37660.5995236693,30776.986098375
8.8,37474.1345967038,31198.7156384479
9,37089.2202430565,31562.1205485282
9.2,36544.1664766062,31844.2164805595
9.4,35866.5288578961,32088.8791276961
9.6,35179.5323739652,32313.1184332564
9.8,34619.5939443295,32415.2259465225
10,34150.5138365077,32427.6210222811
10.2,33756.264252071,32394.921006035
10.4,33378.353618649,32349.1487466785
10.6,33018.7392589566,32247.5808488636
10.8,32499.2617107258,32073.0436115487
11,31851.5930309805,31871.0383066322
11.2,31179.1445544802,31658.21587812
11.4,30587.43602408,31389.7416890569
11.6,30195.9776692375,31023.6920416803
11.8,29970.2258486671,30624.7412239599
12,29921.3816773232,30249.4016576026
12.2,29894.0572723906,29868.0279452551
12.4,29788.5124984698,29456.6266450473
12.6,29629.4784927435,29032.5142350186
12.8,29479.4262655513,28673.1490923705
13,29395.7379139746,28312.986858438
13.2,29409.7940422022,27926.419458653
13.4,29627.483728046,27532.3589677951
13.6,29956.4010239284,27194.2953744665
13.8,30292.8879865112,26937.2112219172
14,30598.9243136973,26676.1527008981
14.2,30882.9048841704,26441.1068799989
14.4,31151.9036559301,26261.4200273872
14.6,31432.3205180698,26154.6093527856
14.8,31797.8719686992,26063.3980060344
15,32228.4094210027,25978.182605421
15.2,32717.7768237636,25963.0411898156
15.4,33198.1403290587,26023.9377486366
15.6,33616.185054666,26136.1919113397
15.8,33967.2702941742,26235.2924587189
16,34249.2689614389,26388.1435693592
16.2,34506.9206173589,26607.3723002457
16.4,34759.7907094147,26835.7168629744
16.6,35094.6026000551,27056.2064046624
16.8,35466.8877847651,27291.652199789
17,35760.3577678174,27615.8561596169
17.2,35952.6525421427,27943.8469583867
17.4,36033.3859034816,28255.6564416416
17.6,36007.3199907266,28551.7337466219
