"Time [ms]","Moving1.Torque [NewtonMeter]"
0,-0.0137927041962906
0.2,-42.8386533178752
0.4,-71.2475061197766
0.6,-85.6328127558729
0.8,-86.4745321192244
1,-74.0736991205906
1.2,-48.4603606135634
1.4,-12.1751620291736
1.6,32.376470170224
1.8,82.9323635170448
2,137.330944051284
2.2,192.531791987547
2.4,244.934538197088
2.6,292.674757201029
2.8,334.199108204953
3,368.159839033201
3.2,393.460193787409
3.4,410.091921885606
3.6,419.457177341242
3.8,421.976466221539
4,418.562102852571
4.2,410.780371876782
4.4,401.494244708505
4.6,393.030926322122
4.8,386.200499939378
5,382.642623199251
5.2,382.221141795928
5.4,383.931227116272
5.6,386.37952919284
5.8,389.363132871394
6,393.486676231728
6.2,398.962961351655
6.4,405.215239318581
6.6,411.413677577852
6.8,418.56041773596
7,426.678679390199
7.2,435.338847306627
7.4,443.712219808938
7.59999999999999,451.93843314575
7.79999999999999,460.793190523697
8,468.983019294897
8.2,476.430365462263
8.4,482.977043560242
8.6,489.830947102693
8.8,496.54298119774
9,502.326749976054
9.2,506.816446176944
9.4,510.710373145118
9.6,514.279252536659
9.8,515.904344082971
10,516.101617840669
10.2,515.581180918194
10.4,514.852692784887
10.6,513.236189485218
10.8,510.458343077991
11,507.243328797166
11.2,503.856154647313
11.4,499.583255219115
11.6,493.757394139411
11.8,487.407894670336
12,481.434179937963
12.2,475.364428789421
12.4,468.81677373717
12.6,462.066815088902
12.8,456.347341206166
13,450.615181221628
13.2,444.462769970232
13.4,438.191102470506
13.6,432.810653274741
13.8,428.71903190786
14,424.564156502214
14.2,420.823286077295
14.4,417.963480997117
14.6,416.263536313335
14.8,414.811862643182
15,413.455617419665
15.2,413.214634305764
15.4,414.183833141129
15.6,415.970413628813
15.8,417.547647826664
16,419.980348808212
16.2,423.469482427048
16.4,427.103699015691
16.6,430.612899061662
16.8,434.360135274122
17,439.52000155178
17.2,444.740137243066
17.4,449.702739299361
17.6,454.414955961855
17.8,459.562679093461
18,464.726538026612
18.2,468.783695957096
18.4,472.439355693999
18.6,476.352666127793
18.8,480.581645415789
19,483.916782494121
19.2,486.458361099041
19.4,488.926592250062
19.6,491.029252292691
19.8,492.155857445092
20,491.894477098743
20.2,491.567204022595
20.4,491.252984479946
20.6,490.556379508553
20.8,488.804812848856
21,486.807275832253
21.2,485.205736491589
21.4,482.608828915607
21.6,479.122483622263
21.8,475.064164304608
22,471.450701397512
22.2,468.178491483897
22.4,464.317808972945
22.6,460.35270959888
22.8,456.870499937404
23,453.949948041553
23.2,450.18101558296
23.4,446.178492975129
23.6,442.967854427226
23.8,440.516163173301
24,438.356814054194
24.2,435.804499328989
24.4,434.519263235317
24.6,433.657971927935
24.8,432.755171397045
25,431.61578729714
25.2,431.220695230307
25.4,432.157145716158
25.6,433.203518315555
25.8,434.236537482267
26,435.53766391856
26.2,437.860674527721
26.4,440.044804526746
26.6,441.825658757406
26.7999999999999,443.8046065373
26.9999999999999,446.777756215764
27.1999999999999,450.219046235157
27.3999999999999,453.049662214905
27.5999999999999,455.838609026794
27.7999999999999,459.000591953389
27.9999999999999,462.073774834164
28.1999999999999,464.397319192202
28.3999999999999,466.156240531339
28.5999999999999,468.573173806616
28.7999999999999,471.146279178
28.9999999999999,473.292730771127
29.1999999999999,474.650875391543
29.3999999999999,476.067376925495
29.5999999999999,477.684301485939
29.7999999999999,478.255533747286
30,477.882183878482
